sector,N,gross_mean,net_mean,wr,std,t_stat,sharpe
銀行業,2107,0.5637642037976103,0.46376420379761035,62.60085429520645,1.7278458815692033,14.976997680332637,1.8979170357430752
その他金融業,473,0.5221243456338136,0.42212434563381374,62.7906976744186,1.6699789387047355,6.799758997503154,1.787369770861394
証券･商品先物取引業,415,0.5815104034737221,0.48151040347372204,61.686746987951814,1.9520316319088011,6.068686265702835,1.7442302980264748
保険業,620,0.5793529937054894,0.47935299370548934,64.83870967741936,2.026624282131873,7.118129065186239,1.672504150965108
倉庫･運輸関連業,103,0.38645948063613017,0.28645948063613025,52.42718446601942,1.2853228972307789,3.051478637568941,1.5759264985428416
非鉄金属,909,0.6454368825636336,0.5454368825636338,61.16611661166117,2.4501727831028495,7.942166898328794,1.5741017165392555
海運業,288,0.45015069635204635,0.35015069635204643,57.986111111111114,1.5881492728021593,4.810196855887573,1.5590091943364024
鉄鋼,451,0.46176308425232865,0.36176308425232867,58.758314855875824,1.6438251504913242,5.96556882144959,1.5561577822393344
卸売業,1390,0.46936250341128766,0.3693625034112876,58.84892086330935,1.7977162096718853,9.734074309812666,1.4528362678880804
機械,3178,0.5055824236983967,0.4055824236983966,57.67778477029578,2.0270504830788014,14.060616047896243,1.4148147000839286
輸送用機器,1549,0.43882850957810365,0.3388285095781036,55.71336346029696,1.8082463406397884,9.551310174838816,1.3249739894246813
サービス業,1780,0.41251036307066413,0.3125103630706641,54.71910112359551,1.6964878854105714,10.25874185935891,1.3025627758305927
ゴム製品,381,0.38779735979830254,0.28779735979830245,57.74278215223097,1.580717009877166,4.788651249140262,1.2874123796313053
電気機器,5041,0.4995362838076155,0.39953628380761536,56.91331085102163,2.2079054225417196,16.06367545830443,1.2795603141606013
その他製品,801,0.3716948085479758,0.2716948085479758,54.68164794007491,1.6079764096076559,6.542188908568488,1.1947764929233682
不動産業,1212,0.36016072616208716,0.26016072616208724,55.115511551155116,1.6059833110594404,7.807403684801432,1.145475251210874
電気･ガス業,1007,0.28296073212837836,0.1829607321283784,55.71002979145978,1.143024497295677,7.855708638720398,1.1318460337894731
精密機器,832,0.40256154162669405,0.3025615416266941,53.605769230769226,1.898003341023004,6.1178239194565665,1.1272020084810708
空運業,192,0.24412344032773378,0.1441234403277338,51.5625,0.9227711575767261,3.665777357641231,1.1043979988635664
石油･石炭製品,293,0.31911436660051096,0.21911436660051092,55.631399317406135,1.4352335022281588,3.805902019132337,1.0795264619874105
ガラス･土石製品,865,0.3805762140020161,0.2805762140020161,53.872832369942195,1.880926914162945,5.95083315945056,1.0547849683397446
化学,3041,0.3623408236511315,0.26234082365113154,56.067083196317,1.7923261463387223,11.148294607951653,1.0349844851882337
建設業,1584,0.3437125844692401,0.24371258446924005,53.03030303030303,1.7224265165036736,7.942044557385039,1.0005118911459314
情報･通信業,3531,0.33327074353079633,0.23327074353079638,54.99858397054659,1.679590362077851,11.79078377952397,0.9820687730012623
鉱業,184,0.3459352348965902,0.24593523489659022,58.152173913043484,1.8735805577621263,2.504559418209453,0.9281825198688063
金属製品,418,0.28800796028781855,0.18800796028781855,50.717703349282296,1.4337607825383496,4.106917088720529,0.9272237409172668
パルプ・紙,137,0.23386987419535302,0.13386987419535298,48.9051094890511,1.1752309091609359,2.32922455857524,0.8054612510805003
小売業,2721,0.25515606728138684,0.15515606728138687,54.64902609334803,1.4895324708754027,8.935527497897699,0.736552639583794
繊維製品,216,0.24241838343756855,0.14241838343756846,51.388888888888886,1.5890319261350185,2.242124908604066,0.6337506694360384
医薬品,1360,0.21942952204462016,0.11942952204462014,51.911764705882355,1.4298255047215696,5.659544404691124,0.590627490087079
陸運業,1633,0.172990379267589,0.07299037926758899,54.80710349050827,0.958194811850326,7.295603586512701,0.5386377749408245
食料品,1802,0.175014786386483,0.07501478638648301,52.330743618202,1.1905405493344978,6.240335562447367,0.4455410122132614
