range_end_m,entry_end_h,profit_pct,stop_pct,direction,is_m,is_md,oos_m,oos_md,oos_pos,oos_ns
10,10,0.01,0.015,long,-0.033,0.255,0.341,0.335,16,30
10,10,0.01,0.015,short,1.33,1.415,-0.235,-0.41,13,30
10,10,0.015,0.005,both,0.7,0.525,0.27,0.475,17,30
10,10,0.015,0.005,long,0.069,-0.09,0.251,0.425,19,30
10,10,0.015,0.005,short,1.11,0.945,0.208,0.405,18,30
10,10,0.015,0.01,both,0.836,0.965,0.27,0.365,19,30
10,10,0.015,0.01,long,0.331,0.47,0.388,0.705,18,30
10,10,0.015,0.01,short,1.172,1.17,-0.047,-0.35,14,30
10,10,0.015,0.015,both,0.787,0.705,0.129,0.28,18,30
10,10,0.015,0.015,long,0.144,0.395,0.338,0.515,20,30
10,10,0.015,0.015,short,1.15,1.29,-0.196,-0.235,14,30
10,10,0.02,0.005,both,0.735,0.44,0.27,0.44,19,30
10,10,0.02,0.005,long,0.24,0.165,0.213,0.43,16,30
10,10,0.02,0.005,short,1.02,1.095,0.259,0.445,21,30
10,10,0.02,0.01,both,0.868,1.005,0.3,0.625,19,30
10,10,0.02,0.01,long,0.479,0.675,0.412,0.745,19,30
10,10,0.02,0.01,short,1.13,1.245,-0.022,-0.06,15,30
10,10,0.02,0.015,both,0.829,0.745,0.158,0.14,15,30
10,10,0.02,0.015,long,0.261,0.69,0.38,0.42,18,30
10,10,0.02,0.015,short,1.157,0.985,-0.143,0.125,16,30
10,10,0.03,0.005,both,0.685,0.55,0.349,0.455,20,30
10,10,0.03,0.005,long,0.266,0.315,0.248,0.36,17,30
10,10,0.03,0.005,short,0.919,1.125,0.324,0.345,22,30
10,10,0.03,0.01,both,0.848,0.775,0.278,0.58,18,30
10,10,0.03,0.01,long,0.503,0.83,0.31,0.7,18,30
10,10,0.03,0.01,short,1.038,1.295,0.045,-0.03,15,30
10,10,0.03,0.015,both,0.795,0.69,0.131,0.15,17,30
10,10,0.03,0.015,long,0.29,0.77,0.275,0.41,17,30
10,10,0.03,0.015,short,1.053,1.175,-0.108,-0.075,15,30
10,11,0.01,0.005,both,0.703,0.73,0.462,0.46,18,30
10,11,0.01,0.005,long,-0.075,-0.155,0.57,0.765,21,30
10,11,0.01,0.005,short,1.12,1.175,0.44,0.215,17,30
10,11,0.01,0.01,both,0.768,0.72,0.339,0.405,19,30
10,11,0.01,0.01,long,0.005,0.17,0.526,0.635,20,30
10,11,0.01,0.01,short,1.226,1.15,0.178,0.245,16,30
10,11,0.01,0.015,both,0.722,0.6,0.158,0.265,16,30
10,11,0.01,0.015,long,-0.17,0.05,0.411,0.39,20,30
10,11,0.01,0.015,short,1.219,1.24,-0.028,0.165,16,30
10,11,0.015,0.005,both,0.655,0.435,0.393,0.375,19,30
10,11,0.015,0.005,long,0.012,-0.08,0.334,0.62,20,30
10,11,0.015,0.005,short,1.006,0.96,0.465,0.64,23,30
10,11,0.015,0.01,both,0.757,0.845,0.354,0.43,19,30
10,11,0.015,0.01,long,0.157,0.275,0.418,0.87,20,30
10,11,0.015,0.01,short,1.085,0.96,0.231,0.485,18,30
10,11,0.015,0.015,both,0.719,0.655,0.214,0.25,18,30
10,11,0.015,0.015,long,0.016,0.34,0.409,0.705,21,30
10,11,0.015,0.015,short,1.069,1.165,0.057,-0.035,14,30
10,11,0.02,0.005,both,0.686,0.655,0.378,0.58,20,30
10,11,0.02,0.005,long,0.238,0.14,0.284,0.465,18,30
10,11,0.02,0.005,short,0.891,0.965,0.522,0.665,24,30
10,11,0.02,0.01,both,0.793,0.82,0.376,0.58,19,30
10,11,0.02,0.01,long,0.353,0.54,0.447,0.865,21,30
10,11,0.02,0.01,short,1.038,1.0,0.26,0.37,19,30
10,11,0.02,0.015,both,0.77,0.77,0.238,0.125,15,30
10,11,0.02,0.015,long,0.194,0.235,0.45,0.75,19,30
10,11,0.02,0.015,short,1.07,1.0,0.097,0.125,16,30
10,11,0.03,0.005,both,0.649,0.635,0.418,0.635,20,30
10,11,0.03,0.005,long,0.256,0.305,0.325,0.385,20,30
10,11,0.03,0.005,short,0.812,0.78,0.51,0.61,22,30
10,11,0.03,0.01,both,0.778,0.72,0.334,0.545,20,30
10,11,0.03,0.01,long,0.377,0.505,0.373,0.69,21,30
10,11,0.03,0.01,short,0.945,0.95,0.255,0.265,16,30
10,11,0.03,0.015,both,0.746,0.485,0.189,0.165,16,30
10,11,0.03,0.015,long,0.232,0.49,0.374,0.355,18,30
10,11,0.03,0.015,short,0.967,1.185,0.069,-0.15,14,30
20,10,0.01,0.005,both,0.6,0.81,0.397,0.415,17,30
20,10,0.01,0.005,long,-0.212,0.01,0.536,0.39,18,30
20,10,0.01,0.005,short,1.437,1.27,0.197,0.345,19,30
20,10,0.01,0.01,both,0.599,0.845,0.015,-0.41,9,30
20,10,0.01,0.01,long,0.131,0.62,0.216,-0.075,14,30
20,10,0.01,0.01,short,1.157,1.14,-0.2,-0.685,11,30
20,10,0.01,0.015,both,0.437,0.325,-0.337,-0.58,9,30
