date,gap_pct,oc_ret,adr_excess,ma25_dev,jpy_chg,score,recovered
2020-02-25,-4.149377593360992,0.9956709956709942,1.8794408108724063,-0.7233600817281527,-0.7708165277404366,3,True
2020-02-26,-1.2858979854264874,0.39079461571862595,2.8341818131866217,-3.6635118841154224,-0.47872820883387845,2,True
2020-02-28,-2.517667844522964,-1.2686905301314,1.6118583093580603,-5.950383011249405,-0.7607317514942924,3,False
2020-03-02,-1.3767783386874677,2.5593299208934495,-2.9441150339468933,-9.032462761338579,-1.3779886840664446,1,True
2020-03-04,-1.0555300596603923,1.0204081632652962,1.8572784819608517,-8.23099341318374,-1.0895660203139368,2,True
2020-03-06,-1.6363636363636358,-1.2939001848428888,1.8900093455330427,-6.675263854481283,-1.2648809523809534,3,False
2020-03-09,-3.8857677902621734,-1.3151485630784165,0.8445446564721117,-8.966928060006818,-0.8100979653353435,2,False
2020-03-10,-1.530108588351431,2.6065162907268125,3.0661812758576232,-13.153066648377088,-2.8110161443494763,3,True
2020-03-12,-2.24663005491762,-2.2471910112359605,2.693135839985775,-13.082343956120246,-1.041370822682941,3,False
2020-03-13,-7.57575757575758,1.8654607122668088,0.6207119980618216,-16.27150081366252,0.09566631589017494,3,True
2020-03-17,-2.2805017103762815,2.2170361726954413,9.218525170255038,-21.469250331315592,-1.908998239273474,3,True
2020-03-19,-1.449275362318836,-3.3936651583710398,5.391428262419231,-17.689808952265583,0.3622178879910898,3,False
2020-03-26,-3.0333167578319276,-1.2307692307692353,3.038196813056373,-3.3711968325356945,-0.017983994245118762,4,False
2020-03-30,-1.4773306164034605,2.2233712512926607,4.180382459064919,-3.992878942014244,-1.5422522358094493,2,True
2020-04-01,-1.7258883248730927,-3.1508264462809965,-0.2590201181654095,-1.9549291288421644,-0.2597161673314141,2,False
2020-04-13,-1.0370370370370363,-1.2974051896207595,0.0,5.640415675472643,0.0,1,False
2020-04-16,-1.37727496310871,0.19950124688279391,1.3061885274213436,6.408592245205602,0.2518656716417933,2,True
2020-04-20,-1.4029995162070596,0.4416094210009769,1.3616224739628748,7.829226050122062,-0.398369464517323,1,True
