slot,N,spearman_r,p,Q1_mean,Q5_mean,Q1-Q5
09:00-09:30,1963,-0.04033420913060301,0.07399789899048345,2.308153132629888,-3.647272272572281,5.955425405202169
09:30-10:00,1980,-0.03575282481844955,0.11174375256673837,4.752869133728851,-4.329322105906033,9.082191239634884
10:00-10:30,1979,0.01994032726479639,0.37529852610202985,4.263978714051142,0.7572065665829146,3.5067721474682267
10:30-11:00,1978,0.02265749643997873,0.31384928176949783,-2.1781416996881653,-1.8196233493215843,-0.358518350366581
11:00-11:30,1977,-0.022423085949776343,0.31900586463567604,1.9676425074476829,5.898399114038797,-3.930756606591114
12:30-13:00,1978,0.013448643956055426,0.5499910738289637,-1.5824357355063472,-0.6414188750288029,-0.9410168604775443
13:00-13:30,1979,0.029584756606302703,0.18832092685731824,-3.426350729573505,-1.6311043362618656,-1.7952463933116394
13:30-14:00,1980,0.01580700524243609,0.4820762701065334,3.220462935345786,6.144533500086364,-2.9240705647405782
14:00-14:30,1979,-0.0034533751930753685,0.8779802711049025,0.9556180285086682,-0.00040163897614894554,0.9560196674848171
14:30-15:00,1885,0.04142622792281369,0.07215098321771946,0.5947478130822688,5.216920826325217,-4.622173013242948
