slot,N,spearman_r,p,Q1_mean,Q5_mean,Q5-Q1
09:00-09:30,1871,-0.02835812780959409,0.22017637657533448,21.008704115247426,-11.219806371206339,-32.228510486453764
09:30-10:00,1887,-0.0013691648794054347,0.9526043538823217,5.195233434752858,-5.224348932306904,-10.41958236705976
10:00-10:30,1887,0.007976928223202541,0.7291243507399245,8.379965685643544,5.0837009943155715,-3.2962646913279725
10:30-11:00,1886,0.016693554961295057,0.46873474407969073,1.9331788068177003,5.722712814859031,3.789534008041331
11:00-11:30,1885,0.0080706799832459,0.726207632320724,2.1654182958290384,7.918144553021759,5.7527262571927205
12:30-13:00,1887,0.008445013715389815,0.7139087673700866,1.4786445135050776,7.172696986572456,5.694052473067378
13:00-13:30,1886,0.019241861909911527,0.4036271568101174,3.398925121881914,4.607120311408242,1.2081951895263283
13:30-14:00,1887,-0.0001362419843272659,0.9952810370183048,7.163601008609323,5.535292138809597,-1.628308869799726
14:00-14:30,1887,0.0179935907082732,0.43469667796742784,2.359900665891347,4.769954707611919,2.4100540417205716
14:30-15:00,1887,0.040884074995572554,0.07580646708924982,0.9022567896548047,5.164799656400988,4.262542866746183
