date,slot,vol,fwd_bps,med20,vol_ratio,sym
2025-06-27,09:00-09:30,469600.0,-76.5529308836399,101350.0,4.63344844597928,5711.T
2025-06-30,09:00-09:30,181400.0,8.708904855214694,102350.0,1.7723497801660968,5711.T
2025-07-01,09:00-09:30,83800.0,-19.90269792127353,102500.0,0.817560975609756,5711.T
2025-07-02,09:00-09:30,66800.0,19.986675549632515,102500.0,0.6517073170731708,5711.T
2025-07-03,09:00-09:30,208400.0,51.746442432083484,102350.0,2.036150464093796,5711.T
2025-07-04,09:00-09:30,192500.0,12.91433491175109,102350.0,1.880801172447484,5711.T
2025-07-07,09:00-09:30,92300.0,6.61375661375585,103300.0,0.89351403678606,5711.T
2025-07-08,09:00-09:30,99800.0,28.722934158196267,97400.0,1.0246406570841888,5711.T
2025-07-09,09:00-09:30,242900.0,-50.25125628140725,101150.0,2.4013840830449826,5711.T
2025-07-10,09:00-09:30,79100.0,17.574692442883233,103300.0,0.7657308809293321,5711.T
2025-07-11,09:00-09:30,173800.0,19.637791839406393,101150.0,1.7182402372713792,5711.T
2025-07-14,09:00-09:30,76100.0,-10.89087344805062,101150.0,0.7523479980227386,5711.T
2025-07-15,09:00-09:30,86100.0,-10.895619960775704,96050.0,0.8964081207704321,5711.T
2025-07-16,09:00-09:30,64700.0,39.50834064969211,96050.0,0.6736074960957834,5711.T
2025-07-17,09:00-09:30,113200.0,6.663705019991362,89200.0,1.2690582959641257,5711.T
2025-07-18,09:00-09:30,61100.0,-2.2143489813997164,96050.0,0.6361270171785528,5711.T
2025-07-22,09:00-09:30,146300.0,-17.54001315500964,96050.0,1.5231650182196772,5711.T
2025-07-23,09:00-09:30,225000.0,2.1691973969639733,96050.0,2.342529932326913,5711.T
2025-07-24,09:00-09:30,158100.0,0.0,96050.0,1.6460176991150441,5711.T
2025-07-25,09:00-09:30,98200.0,17.196904557179593,106500.0,0.9220657276995305,5711.T
2025-07-28,09:00-09:30,111500.0,-6.503360069368691,106500.0,1.0469483568075117,5711.T
2025-07-29,09:00-09:30,104400.0,26.09830361026466,105650.0,0.988168480832939,5711.T
2025-07-30,09:00-09:30,52600.0,-19.53548947254191,102100.0,0.515181194906954,5711.T
2025-07-31,09:00-09:30,544100.0,87.56567425569185,102100.0,5.329089128305583,5711.T
