date,sharpe_raw,sharpe_neutral,ann_ret_pct,avg_pos,n_days
2016,0.6970100580512589,-1.9256480822448014,14.6,21.0,73.0
2017,1.787234035703269,1.2629911477553635,26.6,28.0,205.0
2018,-1.32983990183206,-0.9209574284245794,-27.7,48.0,243.0
2019,1.9505912524236146,1.709401374661825,30.6,33.0,211.0
2020,-0.9743401355671372,-0.6408430940517533,-27.7,61.0,137.0
2021,-0.7375879093934965,-1.8484283420625431,-14.0,31.0,222.0
2022,0.7253648502596352,0.8940130444897813,19.2,27.0,223.0
2023,1.354374016250303,0.3251728164051439,27.3,28.0,233.0
2024,-0.11370504445116406,-1.7191654788215858,-2.6,33.0,230.0
2025,0.6277425751417606,-0.37137724183050097,13.5,31.0,233.0
2026,-0.3383006960660063,-1.971115919044055,-7.7,30.0,96.0
