pub_date,st_date,en_date,section,FrgnBal,IndBal,PropBal,TrstBnkBal,InvTrBal,InsCoBal,BankBal,BusCoBal,SecCoBal,FrgnTot,IndTot,PropTot,TrstBnkTot,InvTrTot,InsCoTot,BankTot,BusCoTot,SecCoTot,market,ret_5d,ret_10d,ret_20d,FrgnBal_z,IndBal_z,PropBal_z,TrstBnkBal_z,InvTrBal_z,InsCoBal_z,BankBal_z,BusCoBal_z,SecCoBal_z,FvI,FvI_z,year,signal_long,signal_short,position,week_pnl,cum_pnl,cum_topix
2016-05-10,2016-04-25,2016-04-28,TSE1st,-0.80094185,0.86181645,0.10168019,-0.27867356,-0.12888509,-0.23163475,-0.08985547,0.36210587,0.06984669,13697396097.0,3029932991.0,3397228855.0,630535656.0,370146205.0,64860167.0,26686797.0,155408119.0,165505125.0,main,-89.76594087317879,-159.13053154790634,-53.26607069995215,,,,,,,,,,-1.6627583,,2016,0,0,0,-0.0,-0.0,-89.76594087317879
2016-05-13,2016-05-02,2016-05-06,TSE1st,-3.10003782,2.57833593,-0.88383799,0.58305995,-0.10731095,0.11617682,0.07931118,0.31265913,0.13854627,7477710448.0,1241112375.0,1475662085.0,287239915.0,159263905.0,18732236.0,11657002.0,60361877.0,86091097.0,main,191.5563479118454,241.0954747183558,95.3609225050256,,,,,,,,,,-5.67837375,,2016,0,0,0,0.0,0.0,101.7904070386666
2016-05-19,2016-05-09,2016-05-13,TSE1st,0.57140196,-0.10504072,-1.8650056,0.22388734,0.25053834,-0.13174635,0.26205241,0.65697426,-0.0495477,15725538586.0,3254145378.0,3743568908.0,712831046.0,475410560.0,27979723.0,49473061.0,208190758.0,188533726.0,main,81.8336749326165,-1.201228255892639,-678.7690413447756,,,,,,,,,,0.67644268,,2016,0,0,0,0.0,0.0,183.6240819712831
2016-05-26,2016-05-16,2016-05-20,TSE1st,0.01830353,-1.33944909,0.02137133,0.21486576,-0.26928859,0.15140414,-0.12212767,1.26298861,-0.04462873,14251139861.0,2840607583.0,3216798401.0,739160552.0,431550133.0,54272056.0,26224321.0,252456413.0,170528517.0,main,-117.75792472990653,-76.20503383592548,-363.36519054968596,,,,,,,,,,1.35775262,,2016,0,0,0,-0.0,0.0,65.86615724137656
2016-06-02,2016-05-23,2016-05-27,TSE1st,-0.67242768,-1.14923802,1.27327608,0.14308946,-0.27843675,-0.11717872,-0.08569603,0.77188297,-0.10490226,12295792496.0,2694767208.0,2536812482.0,599973910.0,402353519.0,38297452.0,23020889.0,226849505.0,152306506.0,main,29.923055001424004,-688.905221160625,-656.9572977756455,,,,,,,,,,0.4768103400000001,,2016,0,0,0,0.0,0.0,95.78921224280056
2016-06-09,2016-05-30,2016-06-03,TSE1st,-1.5846667,0.43754712,-0.10857181,0.49895666,-0.23961158,-0.166321,-0.09001018,1.15554832,-0.02600296,15285383434.0,3077829526.0,3836781627.0,843485580.0,446470712.0,67865030.0,21597146.0,281223658.0,178239838.0,main,-705.5644141008078,-277.734108892731,-821.3742972428716,,,,,,,,,,-2.02221382,,2016,0,0,0,-0.0,0.0,-609.7752018580072
2016-06-16,2016-06-06,2016-06-10,TSE1st,2.3451279,0.21441462,-4.93615546,1.44015334,-0.21415786,0.07985711,-0.00466536,0.88911978,0.00056821,12933841260.0,2529007900.0,4817826922.0,677005624.0,403622158.0,58907757.0,17947490.0,218398410.0,159441371.0,main,333.05485937064947,-87.75908024028278,432.11202609698904,,,,,,,,,,2.13071328,,2016,0,0,0,0.0,0.0,-276.72034248735775
2016-06-23,2016-06-13,2016-06-17,TSE1st,-2.17208127,2.00037101,-1.97230796,0.3178913,0.53382224,0.01288434,0.0481914,3.3972539,0.06847647,15069453235.0,2633271991.0,3568983474.0,636083626.0,565691624.0,57365170.0,25276348.0,443573668.0,162478683.0,main,-474.2170296060677,-625.0764619525329,150.40066063127134,,,,,,,,,,-4.17245228,,2016,0,0,0,-0.0,0.0,-750.9373720934254
2016-06-30,2016-06-20,2016-06-24,TSE1st,-1.21857986,0.38212493,-1.41312594,1.22581688,0.19485155,0.01893016,0.02741627,0.23967369,0.11954245,14336233462.0,3064514873.0,3285755974.0,596299436.0,376085277.0,35018384.0,24498221.0,175593495.0,193551871.0,main,-229.34646616781018,448.57236207734854,540.8528373457023,-0.3209644393671158,-0.04017374615910365,-0.192617093463802,1.6786070856014632,0.8566058559224111,0.3802706151568132,0.21593585564695017,-0.8726981569174477,1.4164690384408183,-1.60070479,,2016,0,0,0,-0.0,0.0,-980.2838382612356
2016-07-07,2016-06-27,2016-07-01,TSE1st,0.11092258,-0.09047252,-2.51894701,2.25725952,0.55447238,-0.60065975,-0.16677481,0.02427948,0.01546425,15500716494.0,3065704584.0,3751908833.0,937407812.0,570254636.0,98635983.0,37125593.0,147747194.0,196518323.0,main,668.7714102052933,801.8096454754798,414.41206864284874,0.5298687759852369,-0.4057000620732004,-0.8017193263969479,3.2759977206198747,2.0308348413546455,-4.200794602857861,-1.4051318237073112,-1.0146483872461871,-0.04349328178724074,0.2013951,,2016,0,0,0,0.0,0.0,-311.51242805594234
