trade_date,jp_open,jp_close,jp_ret,jp_gap,jp_intra,sox_ret,es_ret,nq_ret,vix_lvl,dow
2015-01-06,1377.53,1361.14,-0.028513514478013424,-0.01681547937677086,-0.011898107482232634,-0.019134157529159923,-0.013805742211362215,-0.011507889429351104,19.11,Tuesday
2015-01-07,1353.43,1359.8,-0.0009844689010682917,-0.005664369572564221,0.00470656036884054,-0.021912439317685828,-0.011273538156590712,-0.015602496399423904,19.85,Wednesday
2015-01-08,1374.91,1377.67,0.013141638476246609,0.011111928224738943,0.0020074041209969806,0.009774903996478512,0.01252975817566715,0.012618873445501055,18.83,Thursday
2015-01-09,1386.72,1380.58,0.0021122620075924026,0.006569062257289371,-0.004427714318680165,0.029131029506816786,0.016705853235985613,0.019444946120040996,17.7,Friday
2015-01-13,1364.26,1374.69,-0.0042663228498166506,-0.011821118660273133,0.007645170275460744,-0.01998482903489307,-0.0047946889599213005,-0.006906817505209939,19.6,Tuesday
2015-01-14,1365.53,1357.98,-0.012155467778189988,-0.006663320457703237,-0.005528988744297081,-0.009288202197017092,-0.0030883261272390827,-0.002218358414773025,20.2,Wednesday
2015-01-15,1361.29,1376.6,0.013711542143477695,0.0024374438504248808,0.011246685129546297,-0.005904624537997005,-0.0035935563816604787,-0.002704001922845811,20.6,Thursday
2015-01-16,1354.45,1363.73,-0.009349121022809714,-0.01609036757227944,0.006851489534497324,-0.007768457643769322,-0.015172242258425617,-0.019581852141953404,21.5,Friday
2015-01-19,1374.41,1372.41,0.006364896277122334,0.007831462239592968,-0.0014551698547012881,0.011195564423999604,0.01730016416214175,0.01733038348082605,20.65,Monday
2015-01-20,1376.57,1397.63,0.018376432698683276,0.0030311641564837455,0.015298895079799868,0.011195564423999604,0.01730016416214175,0.01733038348082605,20.65,Tuesday
2015-01-21,1394.24,1390.61,-0.005022788577806914,-0.002425534655094763,-0.0026035689694744457,0.010107552797276487,0.0011171797418072504,0.007067778180500195,20.15,Wednesday
2015-01-22,1390.97,1389.43,-0.0008485484787250641,0.00025887919689937533,-0.0011071410598358922,0.011318728842626191,0.00545567265964042,0.003958970667626405,20.6,Thursday
2015-01-23,1403.88,1403.22,0.009924933246007406,0.010399948180189078,-0.0004701256517651853,0.006370178129055271,0.014551732642742676,0.01953755153253267,17.85,Friday
2015-01-26,1387.82,1402.08,-0.0008124171548297143,-0.01097475805647019,0.01027510772290352,-0.0028425741413669048,-0.006563753494590929,-0.00041022034692916876,18.35,Monday
2015-01-27,1414.53,1426.38,0.017331393358438918,0.00887966449845945,0.00837734088354436,0.0027184294824698085,0.005505934173498206,0.0017588087002404773,17.23,Tuesday
