n,mean_net,t,sharpe,label,slot,period
23,-25.482085830207858,-1.2910113083965098,-4.256338238449026,円安1%→輸出Long,full,ALL
10,0.748555507194288,0.024449419635873923,0.12224709817936959,円安1%→輸出Long,full,IS
13,-45.65950224359412,-1.7980460452931726,-7.884953515538334,円安1%→輸出Long,full,OOS
23,5.766320676615168,0.2822738002748759,0.9306291602623775,円安1%→輸出Long,am,ALL
10,24.539060645322863,0.8021507619856038,4.010753809928018,円安1%→輸出Long,am,IS
13,-8.674248530083068,-0.3118506031707305,-1.3675553616831162,円安1%→輸出Long,am,OOS
23,-31.284675039814093,-2.066631880360204,-6.813483538033683,円安1%→輸出Long,pm,ALL
10,-28.031455242888875,-1.0011068917246,-5.005534458623,円安1%→輸出Long,pm,IS
13,-33.78715180667963,-1.984819649915788,-8.70400995418406,円安1%→輸出Long,pm,OOS
23,-21.382668302888266,-3.115424565894315,-10.271250625441288,円安1%→輸出Long,cls,ALL
10,-14.911937215075149,-1.0789756748314279,-5.394878374157139,円安1%→輸出Long,cls,IS
13,-26.360153755052206,-4.284458719055611,-18.788594389688228,円安1%→輸出Long,cls,OOS
25,37.31208601700493,0.8619230747201361,2.725640083971127,円高1%→輸出Short,full,ALL
14,88.81253985815114,1.2238834840447617,5.171851669161954,円高1%→輸出Short,full,IS
11,-28.233946144453846,-1.0365983829762693,-4.94178889120174,円高1%→輸出Short,full,OOS
25,-19.44216005732279,-1.0808880806021115,-3.418068230430336,円高1%→輸出Short,am,ALL
14,-11.209620169319475,-0.38357815014622243,-1.6209135280848683,円高1%→輸出Short,am,IS
11,-29.91993809659974,-1.641765376900916,-7.826809335968566,円高1%→輸出Short,am,OOS
25,47.88276367033538,1.348341225994164,4.263829337245389,円高1%→輸出Short,pm,ALL
14,90.86664468198725,1.495851079880105,6.321124523004584,円高1%→輸出Short,pm,IS
11,-6.823993980857894,-0.44132940751664224,-2.1039553980052044,円高1%→輸出Short,pm,OOS
23,21.81058187946427,0.6379464567396285,2.1032471832307067,円安1%→非鉄(コスト↑),full,ALL
10,7.541406771863706,0.20238044697472804,1.0119022348736402,円安1%→非鉄(コスト↑),full,IS
13,32.786870423772385,0.601908775826132,2.6395445936479303,円安1%→非鉄(コスト↑),full,OOS
23,34.10023738181695,1.191021775752392,3.926682511601516,円安1%→非鉄(コスト↑),am,ALL
10,3.324462317154925,0.10021584063218243,0.501079203160912,円安1%→非鉄(コスト↑),am,IS
13,57.77391050848006,1.319671047613497,5.787140375783629,円安1%→非鉄(コスト↑),am,OOS
23,-25.941062584609487,-1.0014983404899356,-3.3018422492867434,円安1%→非鉄(コスト↑),pm,ALL
10,-15.539949842734702,-0.6551587129235935,-3.2757935646179672,円安1%→非鉄(コスト↑),pm,IS
13,-33.941918539897785,-0.7914127433585707,-3.470574465722051,円安1%→非鉄(コスト↑),pm,OOS
13,-69.07161108360788,-0.9270097022612042,-4.0652064667180525,円高1%→内需Long,full,ALL
7,-44.748221556025214,-0.33489975330620425,-2.0014088320530297,円高1%→内需Long,full,IS
6,-97.44889886578767,-1.629764588434218,-10.520085182073851,円高1%→内需Long,full,OOS
91,-48.259415353631454,-2.049510698858152,-3.39703090493,SOX+2%→半導体Long,full,ALL
24,-116.84974962630572,-2.559883710685279,-8.261989149759776,SOX+2%→半導体Long,full,IS
67,-23.689743375360067,-0.8755238180485999,-1.6912218006500572,SOX+2%→半導体Long,full,OOS
91,-44.67540081474522,-2.104279186767132,-3.487808789693785,SOX+2%→半導体Long,am,ALL
24,-124.90026933379444,-3.177054581089746,-10.253899568793807,SOX+2%→半導体Long,am,IS
67,-15.938134479563388,-0.6537008072575368,-1.2627332729800373,SOX+2%→半導体Long,am,OOS
91,-10.077973111020553,-0.8955515818917016,-1.4843622930780387,SOX+2%→半導体Long,pm,ALL
24,-2.1289652017184943,-0.10817549657274042,-0.34913491391161766,SOX+2%→半導体Long,pm,IS
67,-12.925378929278006,-0.9484205551103364,-1.8320341330773404,SOX+2%→半導体Long,pm,OOS
91,-9.335751286252856,-1.3407939321132272,-2.2223443025053875,SOX+2%→半導体Long,cls,ALL
24,-7.354672410108216,-0.7381920262630176,-2.3825045200164796,SOX+2%→半導体Long,cls,IS
