regime,dow,n,mean,t,wr
Pre,Mon,7,-7.717322457816898,-0.613981228142023,42.857142857142854
Pre,Tue,6,0.455376951688143,0.023064615119102044,33.33333333333333
Pre,Wed,8,-15.772741957017777,-1.1867787219637695,37.5
Pre,Thu,9,10.880113544615835,0.5708032707288366,55.55555555555556
Pre,Fri,8,36.058207961755514,3.2674473489747258,87.5
Post,Mon,34,-10.923915816541657,-0.7900437795147878,50.0
Post,Tue,41,-16.11947428174577,-1.2480393825900014,39.02439024390244
Post,Wed,40,24.54495333684237,1.6884869110321024,55.00000000000001
Post,Thu,41,9.46382811497826,0.8221241572311772,63.41463414634146
Post,Fri,40,17.0343273455214,1.577979086894185,57.49999999999999
All,Mon,44,-10.307090432994205,-0.9464241312241902,47.72727272727273
All,Tue,49,-13.255905477369229,-1.1894046144035213,38.775510204081634
All,Wed,50,18.815642211914454,1.5445232401485294,52.0
All,Thu,52,9.679583426710343,0.9866331497531822,61.53846153846154
All,Fri,51,18.133017461798353,2.008880134413743,60.78431372549019
