ym,ndays,tot_tril,avg_daily_tril,ym_dt
2023-01,19,60.243710840053,3.1707216231606843,2023-01-01
2023-02,19,61.159135149639,3.218901849981,2023-02-01
2023-03,22,78.611593340419,3.573254242746318,2023-03-01
2023-04,20,61.615714533104,3.0807857266552,2023-04-01
2023-05,20,80.945428516438,4.0472714258219,2023-05-01
2023-06,22,103.32790799772,4.696723090805454,2023-06-01
2023-07,20,81.933346791106,4.0966673395553,2023-07-01
2023-08,22,85.483285715445,3.885603896156591,2023-08-01
2023-09,20,85.178660187269,4.25893300936345,2023-09-01
2023-10,21,87.037240859864,4.144630517136381,2023-10-01
2023-11,20,90.354584413187,4.51772922065935,2023-11-01
2023-12,21,85.683908266277,4.080186107917952,2023-12-01
2024-01,19,94.083272836176,4.951751201904,2024-01-01
2024-02,19,111.360269679486,5.861066825236105,2024-02-01
2024-03,20,116.696072174947,5.83480360874735,2024-03-01
2024-04,21,106.20452943419,5.057358544485238,2024-04-01
2024-05,21,107.187218912856,5.104153281564572,2024-05-01
2024-06,20,90.906035262284,4.5453017631142,2024-06-01
2024-07,22,108.531735772004,4.933260716909273,2024-07-01
2024-08,21,118.409147214124,5.638530819720191,2024-08-01
2024-09,19,94.220488383124,4.958973072796,2024-09-01
2024-10,22,100.660533737066,4.575478806230273,2024-10-01
2024-11,20,100.973502146573,5.04867510732865,2024-11-01
2024-12,21,95.968429869834,4.569925231896857,2024-12-01
2025-01,19,93.803721100621,4.937037952664263,2025-01-01
2025-02,18,97.003245978584,5.389069221032444,2025-02-01
2025-03,20,105.181876351267,5.25909381756335,2025-03-01
2025-04,21,111.222166180036,5.296293627620762,2025-04-01
2025-05,20,105.209279565789,5.26046397828945,2025-05-01
2025-06,21,107.244260350421,5.1068695404962385,2025-06-01
2025-07,22,114.44268846756,5.201940384889091,2025-07-01
2025-08,20,117.342621607751,5.86713108038755,2025-08-01
2025-09,20,117.079783847552,5.8539891923776,2025-09-01
2025-10,22,155.707921626755,7.0776328012161365,2025-10-01
2025-11,18,133.437416875171,7.413189826398389,2025-11-01
2025-12,22,123.224450153886,5.601111370631182,2025-12-01
2026-01,19,142.034856373182,7.475518756483263,2026-01-01
2026-02,18,169.36531463372,9.409184146317777,2026-02-01
2026-03,21,185.971370438315,8.855779544681667,2026-03-01
2026-04,21,182.55207176682,8.69295579842,2026-04-01
2026-05,18,207.616490626166,11.534249479231445,2026-05-01
2026-06,22,278.156653011014,12.643484227773364,2026-06-01
2026-07,18,198.113170856601,11.006287269811168,2026-07-01
