trade_date,open,high,low,close,volume,ret_oc,ret_cc,vol_ma20,vol_med20,vol_ratio,vol_ratio_med,signed_vol,obv,obv_mom20,price_mom20,is_spike_3x,is_spike_2x,fwd_1,fwd_3,fwd_5,fwd_10,fwd_20
2025-10-24,5149.0,5157.0,5058.0,5094.0,2286900,-0.010681685764226012,0.001572945340149401,3886380.0,3628750.0,0.5884396276226206,0.6302170168790906,2286900.0,75652300.0,16327200.0,0.05728518057285181,False,False,0.020219866509619155,-0.0341578327444052,-0.0033372595210050537,-0.013152728700431826,-0.05378877110325875
2025-10-27,5168.0,5216.0,5133.0,5197.0,2035300,0.005611455108359031,0.020219866509619155,3605530.0,3437800.0,0.5644939856276331,0.5920356041654546,2035300.0,77687600.0,21443800.0,0.11213353306227258,False,False,-0.055801423898402924,-0.021743313450067303,-0.04675774485279971,-0.040215508947469725,-0.06003463536655762
2025-10-28,5090.0,5090.0,4907.0,4907.0,2882600,-0.03595284872298621,-0.055801423898402924,3553230.0,3437800.0,0.8112618659642072,0.8385013671534121,-2882600.0,74805000.0,15302000.0,0.037420718816067566,False,False,0.002649276543713164,0.0346443855716323,-0.01691461177909115,0.04340737721622179,0.024047279396780086
2025-10-29,4977.0,4991.0,4903.0,4920.0,2182000,-0.011452682338758291,0.002649276543713164,3534400.0,3272750.0,0.6173607967406066,0.6667175922389428,2182000.0,76987000.0,14702000.0,0.0320956576463185,False,False,0.03333333333333344,0.006910569105690989,0.0024390243902439046,0.05792682926829262,0.04308943089430883
2025-10-30,5013.0,5105.0,5004.0,5084.0,3948100,0.014163175743068024,0.03333333333333344,3504400.0,3272750.0,1.1266122588745577,1.2063555114200595,3948100.0,80935100.0,21336200.0,0.08400852878464815,False,False,-0.0013768686073957204,-0.05114083398898506,-0.03422501966955149,0.022226593233674263,0.008457907159716838
2025-10-31,5108.0,5132.0,5024.0,5077.0,2316900,-0.006068911511354691,-0.0013768686073957204,3567500.0,3628750.0,0.6494463910301331,0.6384843265587323,-2316900.0,78618200.0,15287500.0,0.030653674380836327,False,False,-0.024226905652944608,-0.02856017333070715,-0.009848335631278293,0.00275753397675782,0.0017727004136300906
2025-11-04,5073.0,5129.0,4930.0,4954.0,2442800,-0.02345752020500691,-0.024226905652944608,3496755.0,3272750.0,0.698590550381711,0.746405927736613,-2442800.0,76175400.0,14718800.0,0.009989806320081618,False,False,-0.026241421073879723,-0.008881711748082388,0.006863140896245401,-0.03270084779975779,0.033306419055308734
2025-11-05,4850.0,4898.0,4627.0,4824.0,2855300,-0.005360824742268067,-0.026241421073879723,3525190.0,3272750.0,0.8099705264113424,0.8724467191200062,-2855300.0,73320100.0,9458800.0,-0.028007253677211352,False,False,0.02238805970149249,0.04208126036484239,0.06135986733001664,0.003731343283582156,0.1038557213930349
2025-11-06,4869.0,4993.0,4865.0,4932.0,1608300,0.012939001848428777,0.02238805970149249,3547720.0,3272750.0,0.45333340849897963,0.49142158735008784,1608300.0,74928400.0,13654600.0,0.011277424646298995,False,False,-0.0044606650446066265,0.011354420113544261,0.055352798053527996,0.0026358475263583703,0.11496350364963503
2025-11-07,4880.0,4922.0,4822.0,4910.0,1647400,0.006147540983606481,-0.0044606650446066265,3498760.0,3272750.0,0.470852530610845,0.5033687266060652,-1647400.0,73281000.0,7750500.0,-0.04344437950516267,False,False,0.023828920570264867,0.042769857433808456,0.058452138492871786,-0.0384928716904277,0.11384928716904286
2025-11-10,5050.0,5214.0,4960.0,5027.0,5121900,-0.0045544554455445585,0.023828920570264867,3368295.0,2905850.0,1.520620966987749,1.7626167902679077,5121900.0,78402900.0,8360400.0,-0.0410148798168638,False,False,-0.007758106226377515,0.035408792520389865,0.012731251243286223,-0.04117764074000396,0.06445195941913662
2025-11-11,5055.0,5118.0,4952.0,4988.0,2831600,-0.013254203758654826,-0.007758106226377515,3398790.0,2905850.0,0.8331200221255212,0.9744480960820414,-2831600.0,75571300.0,9169900.0,-0.005978477481068167,False,False,0.02646351242983158,0.04190056134723341,-0.039294306335204476,-0.020649558941459478,0.08019246190858054
2025-11-12,4979.0,5140.0,4936.0,5120.0,2568700,0.028318939546093658,0.02646351242983158,3358315.0,2873100.0,0.7648776246421196,0.8940517211374474,2568700.0,78140000.0,5485500.0,0.0039215686274509665,False,False,0.0166015625,-0.005664062499999956,-0.05429687500000002,-0.0185546875,0.06523437499999996
2025-11-13,5201.0,5235.0,5079.0,5205.0,2217000,0.0007690828686790496,0.0166015625,3174095.0,2859450.0,0.6984668070741424,0.7753239259298117,2217000.0,80357000.0,4086100.0,-0.014017806402727762,False,False,-0.001536983669548464,-0.07934678194044187,-0.049951969260326634,-0.01402497598463015,0.1435158501440923
2025-11-14,5054.0,5217.0,5044.0,5197.0,2087500,0.02829442026117923,-0.001536983669548464,3104125.0,2843450.0,0.6724922482180968,0.734143382158997,-2087500.0,78269500.0,-930500.0,-0.02330389024619428,False,False,-0.020396382528381718,-0.06830863959976907,-0.09159130267462001,-0.013469309216855851,0.09794111987685206
2025-11-17,5115.0,5186.0,5072.0,5091.0,1555900,-0.004692082111436902,-0.020396382528381718,3062045.0,2700150.0,0.5081244723705889,0.5762272466344462,-1555900.0,76713600.0,-6926400.0,-0.06552863436123346,False,False,-0.05873109408760557,-0.028678059320369265,-0.05323119230013751,-0.0009821253191907298,0.10273030838735031
2025-11-18,5022.0,5042.0,4792.0,4792.0,2303900,-0.045798486658701676,-0.05873109408760557,2917840.0,2505750.0,0.7895909302771913,0.9194452758655093,-2303900.0,74409700.0,-4511700.0,-0.10396409872849666,False,False,0.01043405676126885,-0.014816360601001666,0.019407345575960022,0.06823873121869783,0.22746243739565952
2025-11-19,4862.0,4870.0,4750.0,4842.0,1891500,-0.004113533525298196,0.01043405676126885,2797105.0,2379850.0,0.6762348928624416,0.7947979914700506,1891500.0,76301200.0,243400.0,-0.08641509433962269,False,False,0.021272201569599414,-0.004543577034283319,0.03779429987608429,0.0997521685254028,0.1976456009913259
2025-11-20,4982.0,5049.0,4899.0,4945.0,1804000,-0.007426736250501831,0.021272201569599414,2748500.0,2310400.0,0.6563580134618883,0.7808171745152355,1804000.0,78105200.0,8486800.0,0.0036533387456869626,False,False,-0.04529828109201217,-0.01213346814964611,0.03781597573306361,0.11203235591506577,0.17128412537917082
2025-11-21,4805.0,4828.0,4692.0,4721.0,2727100,-0.017481789802289316,-0.04529828109201217,2516730.0,2295400.0,1.083588624922022,1.1880717957654439,-2727100.0,75378100.0,2012700.0,-0.07176563114431778,False,False,0.020970133446303718,0.0643931370472357,0.08599872908282147,0.15844100826096175,0.2899809362423216
2025-11-25,4835.0,4870.0,4793.0,4820.0,2040000,-0.0031023784901758056,0.020970133446303718,2465735.0,2295400.0,0.8273395153980456,0.8887339897185675,2040000.0,77418100.0,1765800.0,-0.05378877110325875,False,False,0.013485477178423189,0.06473029045643153,0.05518672199170127,0.11016597510373449,0.2549792531120332
2025-11-26,4848.0,4895.0,4794.0,4885.0,1500700,0.00763201320132012,0.013485477178423189,2453390.0,2260450.0,0.6116842409889989,0.6638943573182331,1500700.0,78918800.0,1231200.0,-0.06003463536655762,False,False,0.028659160696008268,0.049539406345957104,0.04790174002047087,0.1029682702149437,0.3281473899692937
2025-11-27,5025.0,5096.0,4982.0,5025.0,2022100,0.0,0.028659160696008268,2426660.0,2260450.0,0.8332852562781766,0.8945563936384349,2022100.0,80940900.0,6135900.0,0.024047279396780086,False,False,0.021293532338308552,0.01213930348258696,0.05970149253731338,0.08537313432835814,0.2599004975124377
2025-11-28,5020.0,5139.0,4993.0,5132.0,1740600,0.02231075697211149,0.021293532338308552,2383635.0,2199500.0,0.7302292507032326,0.7913616731075245,1740600.0,82681500.0,5694500.0,0.04308943089430883,False,False,-0.0009742790335152129,-0.002533125487139465,0.07151208106001561,0.1597817614964927,0.2511691348402183
2025-12-01,5143.0,5182.0,5077.0,5127.0,1996100,-0.0031110246937584574,-0.0009742790335152129,2361565.0,2152250.0,0.8452445729844404,0.9274480195144617,-1996100.0,80685400.0,-249700.0,0.008457907159716838,False,False,-0.007996879266627621,0.03861907548273846,0.06670567583382092,0.11293153891164431,0.3019309537741368
2025-12-02,5110.0,5230.0,5071.0,5086.0,1472000,-0.004696673189823919,-0.007996879266627621,2263965.0,2063750.0,0.6501867299185279,0.7132646880678377,-1472000.0,79213400.0,595200.0,0.0017727004136300906,False,False,0.0064883995281164175,0.0812033031852144,0.05210381439244993,0.10381439244986246,0.2499016909162406
2025-12-03,5078.0,5129.0,5030.0,5119.0,1559300,0.008074044899566868,0.0064883995281164175,2221720.0,2031050.0,0.7018436166573646,0.7677309765884641,1559300.0,80772700.0,4597300.0,0.033306419055308734,False,False,0.04024223481148659,0.06837272904864222,0.05254932604024232,0.14905254932604017,0.2967376440711076
2025-12-04,5317.0,5412.0,5263.0,5325.0,2753700,0.001504607861576135,0.04024223481148659,2177545.0,2009100.0,1.2645892507387908,1.3706137076302822,2753700.0,83526400.0,10206300.0,0.1038557213930349,False,False,0.03267605633802817,0.004882629107981318,0.02422535211267607,0.08901408450704218,0.32563380281690146
2025-12-05,5225.0,5499.0,5200.0,5499.0,2531500,0.05244019138755984,0.03267605633802817,2172465.0,2009100.0,1.1652661838050324,1.2600169230003484,2531500.0,86057900.0,11129500.0,0.11496350364963503,False,False,-0.0054555373704310295,-0.02018548827059463,0.0823786142935079,0.05328241498454256,0.3046008365157302
