disc_date,long,short,portfolio,cum
2021-01-04,26.35189602294031,-391.13055211421204,-190.38932804563586,-190.38932804563586
2021-01-05,-208.50678749139277,358.55155558207747,67.02238404534235,-123.36694400029351
2021-01-06,-97.30711251040206,148.562981201951,17.62793434577447,-105.73900965451904
2021-01-07,-123.3579048581505,13.7870082300412,-62.785448314054655,-168.5244579685737
2021-01-08,-170.45283828278997,327.785116697593,70.66613920740153,-97.85831876117217
2021-01-12,-19.45268704846239,265.12743198919213,114.83737247036487,16.979053709192698
2021-01-13,-266.97475101219993,520.7298390890118,118.87754403840592,135.8565977475986
2021-01-14,155.24955605068266,-305.7020537759013,-83.22624886260931,52.6303488849893
2021-01-15,-31.73686976719517,-60.70447475454945,-54.22067226087231,-1.5903233758830098
2021-01-18,-235.68195597608647,-215.78398876690136,-233.73297237149393,-235.32329574737693
2021-01-19,60.84258556672546,63.93988836653125,54.391236966628355,-180.93205878074858
2021-01-20,-48.68028244286145,18.320264272344552,-23.180009085258447,-204.112067866007
2021-01-21,95.20556313484028,-431.5542866716576,-176.1743617684087,-380.2864296344157
2021-01-22,59.7200483686576,-332.46757404871556,-144.37376284002897,-524.6601924744447
2021-01-25,-8.516579000622006,-89.63079188049217,-57.073685440557085,-581.7338779150018
2021-01-26,-34.88014149174372,-12.106137383088269,-31.493139437415994,-613.2270173524178
2021-01-27,20.475395460548455,-118.96051690842243,-57.24256072393699,-670.4695780763548
2021-01-28,94.5848720729858,-128.56029872529083,-24.987713326152516,-695.4572914025073
2021-01-29,-47.31687461930791,-39.009432212852055,-51.16315341607998,-746.6204448185872
2021-02-01,-60.548125683834456,-232.349920244962,-154.44902296439824,-901.0694677829854
2021-02-02,-58.76412001917907,272.6963106122081,98.96609529651451,-802.1033724864709
2021-02-03,341.99435115568093,-33.102941507851256,146.44570482391484,-655.657667662556
2021-02-04,-28.34739728128317,-48.114649112830094,-46.23102319705663,-701.8886908596127
2021-02-05,94.06954769410038,8.232687494404571,43.151117594252476,-658.7375732653602
2021-02-08,-14.148145479240506,-3.7807465415328414,-16.964446010386673,-675.7020192757469
2021-02-09,539.7292808080143,-135.1773690959355,194.27595585603942,-481.4260634197075
2021-02-10,150.26987534803774,-38.05587705369033,48.10699914717371,-433.31906427253375
2021-02-12,260.91319998921944,-132.4221967381572,56.24550162553112,-377.07356264700263
2021-02-15,217.04061631978092,-474.51834887275487,-136.738866276487,-513.8124289234896
2021-02-16,-202.38998606725147,40.78106927249924,-88.80445839737612,-602.6168873208658
2021-02-17,-169.8236076518175,-106.47089678669526,-146.1472522192564,-748.7641395401222
2021-02-18,-112.70381845633536,293.3915110601655,82.34384630191508,-666.4202932382071
2021-02-19,-185.76214795525368,35.059451131667245,-83.35134841179323,-749.7716416500003
2021-02-22,-84.48426233510104,-132.2462781081206,-116.36527022161081,-866.1369118716111
