,制約なし（本編の採用構成）,A: 不動産・銀行を除外,B: A + 証券・その他金融・保険も除外
2016-12-30,0.0388023565735181,0.034225731709426846,0.03334654918333724
2017-01-31,-0.010909448596789518,-0.009440700083844473,-0.009035870246224487
2017-02-28,0.03720009085014345,0.03848823128482186,0.033308830767815815
2017-03-31,-0.015890061141458533,-0.012066817182036758,-0.008179893506447992
2017-04-28,0.029460601941906746,0.026736873388844732,0.027381076877645343
2017-05-31,0.012124858361267404,0.011189528289301216,0.015890833812440948
2017-06-30,0.027050478648562613,0.025046264370006663,0.025903167411411892
2017-07-31,0.01069095506411405,0.019144487473871052,0.019462823109529445
2017-08-31,0.0018499501767949992,-0.0017396113959712125,0.0015395927847002564
2017-09-29,0.05891633515167321,0.053581558204107406,0.05157840179060125
2017-10-31,0.041099288308082495,0.038643905550073875,0.038358872230106936
2017-11-30,-0.004646174766271576,-0.010285515414103894,-0.009658129431496491
2017-12-29,0.03434239587483175,0.03162946010075105,0.031021017174316108
2018-01-31,0.012045436172354524,0.013754590905571355,0.011949211811710242
2018-02-28,-0.025652130903920028,-0.024180712258502646,-0.019513372458190688
2018-03-30,-0.04034395903588915,-0.038100698319340126,-0.0361378262507871
2018-04-27,0.032390471172804636,0.027260498377480697,0.026662410897353623
2018-05-31,-0.04208270583757835,-0.040433054631745215,-0.042420521043771704
2018-06-29,-0.004934614727256073,-0.008877923039190709,-0.008447703184831705
2018-07-31,0.02589240789653736,0.027951190675592045,0.029397137840495795
2018-08-31,-0.01703678472972192,-0.0182798495483839,-0.01833514524914316
2018-09-28,0.03523091215971005,0.04344294481573874,0.044217281179728334
2018-10-31,-0.052221498410373,-0.05478526111703681,-0.054953848365383286
2018-11-30,-0.0013742009684850878,-0.003980389759119145,-0.002867779234843562
2018-12-28,-0.08628045461389067,-0.08782660563037281,-0.0901461528770553
2019-01-31,0.08006083972454912,0.08378837924477506,0.08534697903794136
2019-02-28,0.010766588181209931,0.01053027407432818,0.00896949278261263
2019-03-29,-0.03858876476925685,-0.03464556714190801,-0.0365019367372065
2019-04-26,0.01929052326613788,0.02029690776613048,0.021189735948448765
2019-05-31,-0.08745460038919463,-0.08501752936212124,-0.08878844461764596
2019-06-28,0.022800977781290033,0.025795095173678284,0.027933864007714214
2019-07-31,0.01659560225340863,0.015760415922696662,0.0133044510396606
2019-08-30,-0.04379934038160838,-0.04221501153377165,-0.04255963951113391
2019-09-30,0.06195087036010362,0.061381674473223874,0.0609814660963396
2019-10-31,0.07044557142108608,0.06955253342884454,0.07003610876892516
2019-11-29,0.015883240135400142,0.01616805315092982,0.015271193613168635
2019-12-30,0.00782524150585945,0.010385909720788376,0.008681223585828159
2020-01-31,-0.036085747396560876,-0.03533541048349366,-0.040431235750029604
2020-02-28,-0.09850052347127577,-0.09046142331317347,-0.09439663442735056
2020-03-31,-0.14354027060978547,-0.13919973163749386,-0.13959465834739546
2020-04-30,0.03577073701366238,0.025511672311336595,0.037273730238847294
2020-05-29,0.07921159865744422,0.07320802091942279,0.08575033463773338
2020-06-30,-0.027164717295603318,-0.023324778434516046,-0.020463584156929268
2020-07-31,-0.07993786482600367,-0.0733656130486874,-0.0657529523548681
2020-08-31,0.12696761211298543,0.1210385107729148,0.12233017038826254
2020-09-30,-0.016214684131844053,-0.02630387738374519,-0.019758831906271455
2020-10-30,-0.02776654549335131,-0.029023308894342768,-0.035963383421991985
2020-11-30,0.07002094320296738,0.0694442758484692,0.07108478837501504
2020-12-30,0.054855588801154535,0.0551923326792491,0.05717580980960216
2021-01-29,0.027708281326412666,0.02058368138702889,0.022647021187286016
2021-02-26,0.046022676234578404,0.04576392771072136,0.03802208220752145
2021-03-31,0.10230737647716373,0.0977488433652422,0.10367875680059216
2021-04-30,-0.024571890090793143,-0.016935763835123598,-0.016847291150523348
2021-05-31,0.009650335617670104,0.012370236695514465,0.005363720671721495
2021-06-30,-0.010085662874619754,-0.008404275953616909,-0.003412888414951237
2021-07-30,0.007901589949974083,-0.0023076654954747224,-0.004220371142169101
2021-08-31,0.0019981450844191446,-0.00014119335860626376,-0.004343129338198872
2021-09-30,0.02019205443048486,0.018162914163075212,0.017493650001946113
2021-10-29,-0.018733604672861552,-0.016910010536822492,-0.019748988093243984
2021-11-30,-0.05788216655932354,-0.06030166485574582,-0.06226241323416082
2021-12-30,0.060102238433350504,0.061531400749751254,0.060319335097513305
2022-01-31,0.03680998120487186,0.036817222766141085,0.02837272683711563
2022-02-28,0.04604834505204607,0.04415938448522632,0.04370570945063611
2022-03-31,0.00037887989465671865,0.0008313503803338375,0.002091946622931205
2022-04-28,-0.011956009815324565,-0.011916989661357992,-0.018657059653632447
2022-05-31,0.009117779886327577,0.007724993758358156,0.003302406620365947
2022-06-30,0.015165329317605196,0.015037567999449363,0.00280808212443651
2022-07-29,0.03567612759487953,0.0348674936652265,0.03200150234593045
2022-08-31,0.023967201277909415,0.025603047650597892,0.03425612490601759
2022-09-30,-0.05704257934333103,-0.058072971490888116,-0.07432340064270934
2022-10-31,0.04079220087190978,0.03838840045793323,0.03333768032400926
2022-11-30,0.04436447858591507,0.04469108307204024,0.05837859719437345
2022-12-30,-0.008246542002302912,-0.002217143990761697,-0.008093649635913035
2023-01-31,0.044780420526505584,0.044347988637132456,0.04629319521722208
2023-02-28,0.0665442468442537,0.07285706087791692,0.06916166247673637
2023-03-31,-0.020994885803295116,-0.01735412849106204,-0.013436518833369484
2023-04-28,0.01673819113235741,0.019626671754570394,0.016201536110698925
2023-05-31,-0.019700644705702788,-0.023821585024313457,-0.016389625142905418
2023-06-30,0.0845344462307906,0.08679009830422034,0.08953821996129899
2023-07-31,0.04394488405155212,0.041277045990012654,0.039525977338915316
2023-08-31,0.025764823429546425,0.02996448177743364,0.028988358514823457
2023-09-29,0.01945344318104151,0.0182318079163042,0.018754266281405325
2023-10-31,-0.025364256458706144,-0.02205720045939447,-0.020182291700260004
2023-11-30,0.06004532171712822,0.06735362126719664,0.06994508574974602
2023-12-29,0.015886411525522493,0.018481636127220407,0.018840269309742863
2024-01-31,0.10590348352739723,0.10344933263343828,0.10126333455448142
2024-02-29,0.030303011775985194,0.03043018025055465,0.02563746168729492
2024-03-29,0.014366206349922027,0.012363185396762929,0.00957892634783245
2024-04-30,-0.01949158361003753,-0.020338221378547683,-0.01816690425922821
2024-05-31,-0.017494382259240656,-0.004295028317965884,-0.006099843199878901
2024-06-28,0.010717307490075082,0.01087902286281363,0.009592779732050945
2024-07-31,0.001314122932572372,0.0019488241083458536,0.0005927847837604675
2024-08-30,-0.016284203453570102,-0.020142906174000757,-0.023247488608839895
2024-09-30,-0.03667949945455676,-0.04019913012273792,-0.037166475075608905
2024-10-31,0.0069565786424281425,0.00806961535191895,0.006841904127946253
2024-11-29,0.008114655607781289,0.00399014941962007,-0.0017702420557715285
2024-12-30,0.04983447443122846,0.05054787268213064,0.05054787268213064
2025-01-31,-0.0054222993218964064,-0.011529655715054928,-0.011529655715054928
2025-02-28,0.0039050280259083155,0.003522078027763267,0.003522078027763267
2025-03-31,0.0013931254686284748,-0.0006090197391973693,-0.0006090197391973693
2025-04-30,-0.00965744335622182,-0.009639772402689985,-0.009639772402689985
2025-05-30,0.03635172167159147,0.04002545015298097,0.04002545015298097
2025-06-30,-0.02058958578359961,-0.018672571193690226,-0.018672571193690226
2025-07-31,0.043272775156906085,0.04443645947963915,0.04443645947963915
2025-08-29,0.07039606512885578,0.07076506599973481,0.07076506599973481
2025-09-30,-0.004565501157987816,-0.0070597648407107385,-0.0070597648407107385
2025-10-31,0.022964663774805223,0.02827459776283622,0.02827459776283622
2025-11-28,0.05424714589147952,0.05674399431907569,0.05674399431907569
2025-12-30,0.034877453833211655,0.0369499433289261,0.03199849168096277
2026-01-30,0.027397144134024037,0.022220687762794213,0.01829061888777793
2026-02-27,0.09700744988955207,0.09508519968892948,0.09704615480186658
2026-03-31,-0.1009413873031994,-0.10052701418002334,-0.10660452533833888
2026-04-30,-0.00670284352522442,-0.0061984071613443836,-0.01144798556540927
2026-05-29,0.011493265440149492,0.012972696990450743,0.012177598246475485
2026-06-30,0.005800700391866695,0.005495985771361212,0.0013196495747335242
2026-07-31,0.07095836264933857,0.07445667219276134,0.07109766891726779
