放置年数,標本,年率中央,年率平均,最悪,最良,負けた割合,市場EW年率中央,市場に勝った割合
1,104,15.05852900541762,12.831588849502214,-18.720663370848335,47.49070673563494,25.0,9.77719357438528,61.53846153846154
2,92,13.23253214887561,10.996271252671894,-14.188364085425164,27.029069884124812,15.217391304347828,9.542075373685444,66.30434782608695
3,80,13.309055010189274,11.943576581871621,-7.856411750282055,29.389896728445674,11.25,8.698159195025513,82.5
5,56,11.410936118192982,11.812263444863486,1.392262808230993,21.93319582886999,0.0,8.497026338598722,85.71428571428571
