放置年数,優良30_年率中央%,優良30_負け%,優良30_n,高配当30_年率中央%,高配当30_負け%,高配当30_n
1,7.311184610432986,33.00970873786408,103,15.05852900541762,25.0,104
3,4.174963558659339,26.582278481012654,79,13.309055010189274,11.25,80
5,2.366051282502135,23.636363636363637,55,11.410936118192982,0.0,56
