,優良30,高配当30
2016-12-30,,0.0388023565735181
2017-01-31,,-0.010909448596789518
2017-02-28,,0.03720009085014345
2017-03-31,0.015910123277159894,-0.015890061141458533
2017-04-28,0.02990590828654396,0.029460601941906746
2017-05-31,0.06760413675825654,0.012124858361267404
2017-06-30,0.0264149460038917,0.027050478648562613
2017-07-31,-0.00273043198990748,0.01069095506411405
2017-08-31,0.010905099718954868,0.0018499501767949992
2017-09-29,0.013948572171456034,0.05891633515167321
2017-10-31,0.021007198567320258,0.041099288308082495
2017-11-30,0.031667591666824514,-0.004646174766271576
2017-12-29,0.028735684868731588,0.03434239587483175
2018-01-31,0.036899330436566416,0.012045436172354524
2018-02-28,-0.021982775193998192,-0.025652130903920028
2018-03-30,0.024190456809678507,-0.04034395903588915
2018-04-27,-0.04061535060755646,0.032390471172804636
2018-05-31,0.03771964851927933,-0.04208270583757835
2018-06-29,-0.01583718254068227,-0.004934614727256073
2018-07-31,-0.008047416906292718,0.02589240789653736
2018-08-31,-0.024399608256625453,-0.01703678472972192
2018-09-28,0.021966910283650873,0.03523091215971005
2018-10-31,-0.13804301738883082,-0.052221498410373
2018-11-30,0.021390113624232134,-0.0013742009684850878
2018-12-28,-0.17964198729152794,-0.08628045461389067
2019-01-31,0.1012109741795791,0.08006083972454912
2019-02-28,0.08216168143993965,0.010766588181209931
2019-03-29,0.01549175040349659,-0.03858876476925685
2019-04-26,0.04879581402259912,0.01929052326613788
2019-05-31,-0.046973940672195416,-0.08745460038919463
2019-06-28,0.0024318421809203608,0.022800977781290033
2019-07-31,0.07246368030788022,0.01659560225340863
2019-08-30,-0.037316367552312726,-0.04379934038160838
2019-09-30,0.04651259158452074,0.06195087036010362
2019-10-31,0.05444163135451322,0.07044557142108608
2019-11-29,0.048635728981245775,0.015883240135400142
2019-12-30,0.013638812835799992,0.00782524150585945
2020-01-31,-0.023292896866701867,-0.036085747396560876
2020-02-28,-0.16479825714653454,-0.09850052347127577
2020-03-31,-0.07858603576683132,-0.14354027060978547
2020-04-30,0.16326480671410662,0.03577073701366238
2020-05-29,0.13717133119628155,0.07921159865744422
2020-06-30,0.03319780019241268,-0.027164717295603318
2020-07-31,-0.059680418065576876,-0.07993786482600367
2020-08-31,0.14906334553991607,0.12696761211298543
2020-09-30,0.07572244307050068,-0.016214684131844053
2020-10-30,-0.051847695757569014,-0.02776654549335131
2020-11-30,0.13963495396508302,0.07002094320296738
2020-12-30,0.004391601354209318,0.054855588801154535
2021-01-29,-0.018108419013982628,0.027708281326412666
2021-02-26,-0.022993498349912697,0.046022676234578404
2021-03-31,0.04860003760224388,0.10230737647716373
2021-04-30,-0.02594111762585156,-0.024571890090793143
2021-05-31,-0.04998780650378518,0.009650335617670104
2021-06-30,0.06080433555705322,-0.010085662874619754
2021-07-30,-0.03892711216319216,0.007901589949974083
2021-08-31,0.11046499278561618,0.0019981450844191446
2021-09-30,-0.01414406636745621,0.02019205443048486
2021-10-29,-0.02652042790503552,-0.018733604672861552
2021-11-30,-0.07286756380569255,-0.05788216655932354
2021-12-30,-0.024558488742477562,0.060102238433350504
2022-01-31,-0.1565655954969033,0.03680998120487186
2022-02-28,0.007014439462237099,0.04604834505204607
2022-03-31,0.08738603103198288,0.00037887989465671865
2022-04-28,-0.06618447888277017,-0.011956009815324565
2022-05-31,-0.02258417237121894,0.009117779886327577
2022-06-30,-0.06431721350083168,0.015165329317605196
2022-07-29,0.07631645375097976,0.03567612759487953
2022-08-31,0.04613009308781636,0.023967201277909415
2022-09-30,-0.08086708408152915,-0.05704257934333103
2022-10-31,0.0359572148520783,0.04079220087190978
2022-11-30,0.03859749403120604,0.04436447858591507
2022-12-30,-0.07473772061791915,-0.008246542002302912
2023-01-31,0.030465473797563702,0.044780420526505584
2023-02-28,-0.010071695516772537,0.0665442468442537
2023-03-31,0.01161831787365367,-0.020994885803295116
2023-04-28,-0.01997960718589403,0.01673819113235741
2023-05-31,0.05573930594835912,-0.019700644705702788
2023-06-30,0.04058648882500388,0.0845344462307906
2023-07-31,-0.008334233846337271,0.04394488405155212
2023-08-31,-0.015401083113922324,0.025764823429546425
2023-09-29,-0.024260380208933945,0.01945344318104151
2023-10-31,-0.07168365773542774,-0.025364256458706144
2023-11-30,0.10152729457838962,0.06004532171712822
2023-12-29,0.014927572112619714,0.015886411525522493
2024-01-31,0.02982872481631709,0.10590348352739723
2024-02-29,0.03281857827686795,0.030303011775985194
2024-03-29,-0.0032391917590217302,0.014366206349922027
2024-04-30,-0.07335620352334739,-0.01949158361003753
2024-05-31,-0.022858863661512917,-0.017494382259240656
2024-06-28,0.05312019297388684,0.010717307490075082
2024-07-31,0.0035216583886083824,0.001314122932572372
2024-08-30,0.018997593133770245,-0.016284203453570102
2024-09-30,0.0035481027898959213,-0.03667949945455676
2024-10-31,-0.012222488199246186,0.0069565786424281425
2024-11-29,-0.022499236755295585,0.008114655607781289
2024-12-30,0.03960709410389593,0.04983447443122846
2025-01-31,0.010647672468862257,-0.0054222993218964064
2025-02-28,-0.04253974401364997,0.0039050280259083155
2025-03-31,-0.02555311789162437,0.0013931254686284748
2025-04-30,0.04505003891060446,-0.00965744335622182
2025-05-30,0.08985641178211316,0.03635172167159147
2025-06-30,0.09064206601629189,-0.02058958578359961
2025-07-31,-0.00494703445144346,0.043272775156906085
2025-08-29,0.01368783126292063,0.07039606512885578
2025-09-30,0.02613150144019245,-0.004565501157987816
2025-10-31,0.047188865553243885,0.022964663774805223
2025-11-28,0.01316838082959304,0.05424714589147952
2025-12-30,-0.04134365612629899,0.034877453833211655
2026-01-30,-0.00282334917780102,0.027397144134024037
2026-02-27,-0.002286454715709741,0.09700744988955207
2026-03-31,-0.09222314416798269,-0.1009413873031994
2026-04-30,0.09073153734754301,-0.00670284352522442
2026-05-29,0.05148976589809872,0.011493265440149492
2026-06-30,0.005104536582873798,0.005800700391866695
2026-07-31,0.003769768701924862,0.07095836264933857
