放置年数,制約なし_年率,制約なし_負け%,A_年率,A_負け%,B_年率,B_負け%
1,15.30255259761698,24.528301886792452,15.13062040109292,28.30188679245283,14.271607778361428,26.41509433962264
3,13.060132153797033,10.975609756097562,12.69621544576427,12.195121951219512,12.227936215118795,8.536585365853659
5,11.373474287451424,0.0,11.588273114433168,0.0,11.498988049165892,0.0
