,年次%
2016,3.7899101485625586
2017,25.457124065487726
2018,-19.330186649457982
2019,12.4993698347998
2020,-9.523784529501745
2021,14.559442417926194
2022,11.99374562563047
2023,32.76914045647299
2024,14.18588175112454
2025,25.981781478040755
2026,5.546366237650124
