構成,年率最小,年率中央,年率最大,Sh最小,Sh中央,全て正
A: 高配当×質 30銘柄（20260818の検証済み構成）,9.818886919725855,12.584592609553157,13.326164776648142,0.6852534223624115,0.8369618022258334,True
B: A + 一過性利益フィルタ,8.778933172872282,11.791293214678944,13.12834000076213,0.6168535672671395,0.7816146463567077,True
C: B + 業種上限3銘柄,8.362539807911862,11.241341125157145,13.12641229616145,0.6016236375529244,0.7769785287142836,True
D: C を20銘柄に絞る（実際に持つ本数）,9.225750366625341,11.390209943359132,13.361377890198112,0.6442155888752559,0.7422921659366688,True
