,A,B,C,D
2016-12-30,0.0388023565735181,0.03300356167548667,0.038134475563552615,0.03789910148562553
2017-01-31,-0.010909448596789518,-0.01483961220636299,-0.012968779654792588,-0.018846900545740435
2017-02-28,0.03720009085014345,0.027666245141045615,0.02700032414709375,0.03505431272625466
2017-03-31,-0.015890061141458533,-0.00934956203249324,-0.010314723558042771,-0.007119457440422324
2017-04-28,0.029460601941906746,0.03276346568400982,0.03559384082830204,0.04067559445274793
2017-05-31,0.012124858361267404,0.026593601093771936,0.031110098998637533,0.027087791933673822
2017-06-30,0.027050478648562613,0.021688630461576288,0.02243997610195702,0.012005423187283972
2017-07-31,0.01069095506411405,0.02366958094658212,0.024673129144571784,0.019879950545720983
2017-08-31,0.0018499501767949992,0.0042635662933166694,0.0033891217242283,-0.0006618062051058637
2017-09-29,0.05891633515167321,0.052812504000353165,0.05567624784027545,0.06712547468349186
2017-10-31,0.041099288308082495,0.037018232574521234,0.03300683323126875,0.03541070450773093
2017-11-30,-0.004646174766271576,-0.006360368358471394,-0.0022433414776834994,-0.003080924694324887
2017-12-29,0.03434239587483175,0.018766197239121492,0.0218837456801675,0.024573330678921423
2018-01-31,0.012045436172354524,0.007552580267793114,0.006409314690447301,0.019080580962326343
2018-02-28,-0.025652130903920028,-0.031013211635308395,-0.03382699475626187,-0.026304056240953867
2018-03-30,-0.04034395903588915,-0.028805031618494282,-0.02851222574979696,-0.0470537835318484
2018-04-27,0.032390471172804636,0.020467029592197906,0.018786636640192922,0.018554828169584342
2018-05-31,-0.04208270583757835,-0.05074603383334913,-0.05317320191347325,-0.052113616520581066
2018-06-29,-0.004934614727256073,-0.009460445583998202,-0.00887624275741263,-0.006927315350366142
2018-07-31,0.02589240789653736,0.02684716913923409,0.027560682264150354,0.026643525861985227
2018-08-31,-0.01703678472972192,-0.02816716037661609,-0.028734491593701984,-0.02433015324316602
2018-09-28,0.03523091215971005,0.01922023026111085,0.022039858687412983,0.019304108463482312
2018-10-31,-0.052221498410373,-0.04811344847002522,-0.047673928259538374,-0.04300328055144061
2018-11-30,-0.0013742009684850878,0.004807900541523384,0.005109046918890403,0.004316681634099852
2018-12-28,-0.08628045461389067,-0.09725131022125491,-0.09637621355329869,-0.09326248112007822
2019-01-31,0.08006083972454912,0.0925146255375026,0.08954897050781631,0.08955424553417338
2019-02-28,0.010766588181209931,0.01761544062934146,0.017091677202155202,0.02484386903116006
2019-03-29,-0.03858876476925685,-0.03186851120959263,-0.03450484292092604,-0.03721361469610164
2019-04-26,0.01929052326613788,0.02721892012322236,0.026990103298333547,0.008433264947886892
2019-05-31,-0.08745460038919463,-0.10128742443660949,-0.0964124679212113,-0.09886413562483869
2019-06-28,0.022800977781290033,0.03159192943537545,0.029881508397041342,0.01990918953163335
2019-07-31,0.01659560225340863,0.02039304455100664,0.018994772133562488,0.019415285260696052
2019-08-30,-0.04379934038160838,-0.03185759304677491,-0.028458152016476522,-0.04028707784779792
2019-09-30,0.06195087036010362,0.05708459675244061,0.05659349404650677,0.06038897477986209
2019-10-31,0.07044557142108608,0.07678239851001133,0.07784641867055515,0.07750213729815045
2019-11-29,0.015883240135400142,0.018274987859416662,0.014241701216524901,0.00568674163333031
2019-12-30,0.00782524150585945,0.008552147826304332,0.004628003611758851,0.004329200852294861
2020-01-31,-0.036085747396560876,-0.039980348986513134,-0.046117564970179735,-0.04792501162895884
2020-02-28,-0.09850052347127577,-0.10983995301131104,-0.11390293324505148,-0.10217275503501733
2020-03-31,-0.14354027060978547,-0.13436380903659567,-0.1367827560051875,-0.13718028817645445
2020-04-30,0.03577073701366238,0.04756036810932904,0.048199296179506974,0.04030101429354446
2020-05-29,0.07921159865744422,0.0868473452783091,0.08920067677870151,0.09239364698192928
2020-06-30,-0.027164717295603318,-0.01902198408104212,-0.023409139710569824,-0.024000664109962176
2020-07-31,-0.07993786482600367,-0.0921645946901287,-0.09282633443395585,-0.09216010848341655
2020-08-31,0.12696761211298543,0.11186024632916365,0.1238960701203907,0.10859787000403195
2020-09-30,-0.016214684131844053,-0.010867012646405728,-0.004087187453225822,-0.014156109201229155
2020-10-30,-0.02776654549335131,-0.02280505717412864,-0.025257145412285673,-0.01496176208858081
2020-11-30,0.07002094320296738,0.07442434383013521,0.05962472336573283,0.0697940882848554
2020-12-30,0.054855588801154535,0.04813449592417955,0.03926191975326081,0.057835133555043924
2021-01-29,0.027708281326412666,0.030220340640075727,0.03046443315455744,0.039587530721437156
2021-02-26,0.046022676234578404,0.03902570804841957,0.03238369043809785,0.035978528967924875
2021-03-31,0.10230737647716373,0.10314968708281333,0.08575713754993759,0.08848155876170466
2021-04-30,-0.024571890090793143,-0.019755406212518048,-0.029731714738013598,-0.020878789841413385
2021-05-31,0.009650335617670104,0.00174910581082864,0.011072978648704494,0.02518198993928253
2021-06-30,-0.010085662874619754,-0.0006617379862605156,0.004220173350797181,-0.0013527765471418485
2021-07-30,0.007901589949974083,0.0023567713586929813,-0.0044575814408268355,-0.0032054250222617146
2021-08-31,0.0019981450844191446,-0.0028578281143984865,0.003483451594171699,0.005611838661892565
2021-09-30,0.02019205443048486,0.017605796888867768,0.012457928718824497,0.010363288765203005
2021-10-29,-0.018733604672861552,-0.022223702908033646,-0.022386746396035325,-0.02061229781947394
