構成,年率,Sharpe,MDD,勝率,N月
A: 高配当×質 30銘柄（20260818の検証済み構成）,12.867382646592107,0.8667984793730027,-30.159047797744563,64.65517241379311,116
B: A + 一過性利益フィルタ,11.594328447006008,0.8010905457976,-30.560504070435158,65.51724137931035,116
C: B + 業種上限3銘柄,10.783547617157696,0.7473643627311957,-32.14283954633205,64.65517241379311,116
D: C を20銘柄に絞る（実際に持つ本数）,11.095467041945462,0.760472189384565,-34.31947577070954,62.93103448275862,116
