code,dt,am_ret,pm_ret,am_bucket
15400,2024-11-08,-0.0039808917197452,-0.0047961630695443,-0.5〜0%
15400,2024-11-11,-0.0040160642570281,0.0016129032258064,-0.5〜0%
15400,2024-11-12,0.000410004100041,-0.0081967213114754,0〜+0.5%
15400,2024-11-13,0.0053519967064635,0.0028665028665028,+0.5〜+1%
15400,2024-11-14,-0.0024762690879075,-0.0008274720728175,-0.5〜0%
15400,2024-11-15,-0.0016447368421052,-0.0061779242174629,-0.5〜0%
15400,2024-11-18,0.0108108108108108,-0.0041135335252982,+1〜+2%
15400,2024-11-19,-0.0020399836801305,0.0040883074407195,-0.5〜0%
15400,2024-11-20,0.0012131014961585,-0.0004038772213247,0〜+0.5%
15400,2024-11-21,-0.0016012810248198,0.0,-0.5〜0%
15400,2024-11-22,0.0048115477145148,0.0055865921787709,0〜+0.5%
15400,2024-11-25,-0.0114038537160833,-0.0095465393794749,-2〜-1%
15400,2024-11-26,0.0053344275748871,-0.0036734693877551,+0.5〜+1%
15400,2024-11-27,-0.000410004100041,-0.0012305168170631,-0.5〜0%
15400,2024-11-28,-0.0033071517155849,0.0033181252592285,-0.5〜0%
15400,2024-11-29,-0.0004133939644481,-0.0004135649296939,-0.5〜0%
15700,2024-11-05,0.0093995779781315,0.0045610034207525,+0.5〜+1%
15700,2024-11-06,0.0276583816109138,0.0074559010729223,+2〜+3%
15700,2024-11-07,-0.0250399573787959,0.0014571948998178,-3〜-2%
15700,2024-11-11,-0.000363702491362,0.0081862834273239,-0.5〜0%
15700,2024-11-12,0.0033995348005009,-0.0212196861626248,0〜+0.5%
15700,2024-11-13,-0.019304316153706,-0.011142061281337,-2〜-1%
15700,2024-11-14,-0.0087425595238095,-0.0112591480577969,-1〜-0.5%
15700,2024-11-15,0.0046895516788595,-0.0097087378640776,0〜+0.5%
15700,2024-11-19,0.0022975301550832,0.0001910219675262,0〜+0.5%
15700,2024-11-20,-0.009165552797403,0.0063596068606667,-1〜-0.5%
15700,2024-11-21,-0.0147792706333973,-0.0017533606078316,-2〜-1%
15700,2024-11-22,0.0112120626329016,-0.0042056968074937,+1〜+2%
15700,2024-11-26,-0.0161167993932499,0.0077086143765658,-2〜-1%
15700,2024-11-27,-0.0055833654216403,-0.0032913843175217,-1〜-0.5%
15700,2024-11-28,0.0210216110019646,0.0036559553588608,+2〜+3%
15700,2024-11-29,-0.0019308746862328,-0.0011607661056297,-0.5〜0%
15790,2024-11-05,0.0103682516982481,0.0031847133757962,+1〜+2%
15790,2024-11-06,0.0271398747390397,0.0077913279132791,+2〜+3%
15790,2024-11-07,-0.027062706270627,0.0010176390773406,-3〜-2%
15790,2024-11-08,-0.0139303482587064,-0.0033636057854019,-2〜-1%
15790,2024-11-11,-0.00236646382691,0.0088105726872247,-0.5〜0%
15790,2024-11-12,0.0026640026640027,-0.0212553968781135,0〜+0.5%
