form,N,Q1,Q2,Q3,Q4,Q5,spread,mkt
2025-08-29,911,35.92540376335553,29.293431000364734,29.820563759891378,21.877505870649706,0.49315960010239446,35.43224416325314,23.49567184493695
2025-09-30,947,34.10199932061552,22.530881174681024,17.643533259765377,23.761443527913556,-0.265878063991152,34.36787738460667,19.54882808199014
2025-10-31,967,31.985010161471727,19.616778986028983,17.510826418965387,17.205701331053444,4.092557883041856,27.89245227842987,18.08208521271237
2025-11-28,959,23.79150839272207,13.549988154185144,15.929736590324953,17.73747433903585,5.429337403399419,18.36217098932265,15.286939395522234
2025-12-30,941,22.787239907892456,12.206122922757686,17.220716769866776,15.375590020617032,11.191369018878834,11.595870889013622,15.763679600669814
2026-01-30,971,15.152024207290838,9.348384833253649,10.048260770175304,7.98300889256891,9.763503809618085,5.388520397672753,10.463869651607833
2026-02-27,1040,3.119704731581076,-1.1369091283442398,-2.3246312991238813,-2.079773237854911,3.270382550794503,-0.15067781921342682,0.16975472341050954
2026-03-31,1106,15.823117717572963,11.490594925262952,11.40468859089446,11.321279086532284,14.041036488102652,1.782081229470311,12.81886214499666
2026-04-30,1074,10.933038251548082,6.515877338430549,6.939686130316158,4.120990385085184,5.615222114968015,5.317816136580067,6.824856025367319
2026-05-29,1065,6.2038380991116355,4.766518700602475,2.8313553858511744,4.10926798208424,-0.4563376884949991,6.660175787606635,3.490928495830905
2026-06-30,1051,7.932128978273452,5.927864980526752,4.590833807533514,4.250553050809007,1.687311941037041,6.244817037236411,4.880644727113249
2026-07-31,1044,5.083273024728338,4.37049838844701,3.9409521040366475,5.410054499476904,6.177639163468796,-1.0943661387404582,4.997494481368699
