code,銘柄,業種,株価,PBR,予想PER,予想利回%,予想ROE%,自己資本比%,予想増益%,予想/5期平均,純利/営利,配当性向%,3M%,1Y%,時価総額億,ADV億
84240,芙蓉総合リース,その他金融業,4494,0.79,8.4,3.8,9.4,13.4,122.6,1.28,0.69,32.3,2.6,9.9,4055,7.3
84250,みずほリース,その他金融業,1359,0.85,7.9,3.8,11.6,10.4,9.2,1.29,1.3,30.4,-0.1,17.2,3807,8.1
82530,クレディセゾン,その他金融業,4735,0.88,9.0,3.4,9.8,15.4,22.3,1.23,,30.4,9.7,17.9,6805,34.8
