Date,jp_open,jp_close,jp_ret,jp_gap,jp_intra,us_SP500_ret,us_Nasdaq_ret,us_Dow_ret,us_VIX_ret,us_VIX_level
2010-01-06,10709.5498046875,10731.4501953125,0.004645282393053174,0.0025950353413004557,0.002044940359249736,0.0031156756258232665,0.00012564397826908547,-0.0011281627794860194,-0.034431162801145,19.350000381469727
2010-01-07,10742.75,10681.66015625,-0.004639637528602414,0.0010529615738641418,-0.005686611319261847,0.0005455206301101523,-0.003300489526965489,0.00015703302903413707,-0.009819148853328685,19.15999984741211
2010-01-08,10743.2998046875,10798.3203125,0.010921537901740885,0.0057706056489199575,0.005121378795413856,0.00400120187417663,-0.00045197668182273,0.003138043239736543,-0.005219226631843266,19.059999465942383
2010-01-12,10770.349609375,10879.1396484375,0.007484435875081852,-0.0025902827769075376,0.010100882794724209,0.0017467554316374923,-0.0020542342280074344,0.004313334272047609,-0.031991172121021205,17.549999237060547
2010-01-13,10795.48046875,10735.0302734375,-0.01324639444449982,-0.007689870926467557,-0.005599583593105195,-0.009381166148364262,-0.013016659960676247,-0.0034443456851264154,0.039886085092314616,18.25
2010-01-14,10778.0703125,10907.6796875,0.016082806444402742,0.004009307655982841,0.012025285718324064,0.008325925658531075,0.01121225560639516,0.005035142341968779,-0.021917787316727333,17.850000381469727
2010-01-15,10917.41015625,10982.099609375,0.006822708770984898,0.0008920750360088547,0.005925347880052501,0.0024264254383745687,0.0038303601822797795,0.002788214215311724,-0.012324998095322726,17.6299991607666
2010-01-18,10887.6103515625,10855.080078125,-0.011566051644766429,-0.008603933780735207,-0.002987824911720116,-0.010823130159869354,-0.012409679170380938,-0.009420563454019981,0.015882058988897496,17.90999984741211
2010-01-19,10866.830078125,10764.900390625,-0.00830760223332938,0.0010824424983910674,-0.009379891538488727,-0.010823130159869354,-0.012409679170380938,-0.009420563454019981,0.015882058988897496,17.90999984741211
2010-01-20,10834.91015625,10737.51953125,-0.002543531141156241,0.006503521917023081,-0.008988595530145749,0.012499626599363545,0.014165233347919859,0.010912640154222775,-0.01842545653364358,17.579999923706055
2010-01-21,10704.7900390625,10868.41015625,0.012190024392417786,-0.003048142738389936,0.01528475725263534,-0.010597829662970737,-0.012562447668743149,-0.01140087627608155,0.06257112549735644,18.68000030517578
2010-01-22,10740.2099609375,10590.5498046875,-0.025565869116810358,-0.011795671443148192,-0.013934565226780382,-0.01894490338978838,-0.011151139695853796,-0.020113881248073895,0.19218415920438647,22.270000457763672
2010-01-25,10478.3095703125,10512.6904296875,-0.007351778371840423,-0.010598149902030674,0.0032811456031427433,-0.022140988764300484,-0.026662803288727388,-0.020876027106079165,0.22631337694569686,27.309999465942383
2010-01-26,10506.150390625,10325.2802734375,-0.01782704032839777,-0.0006221089745048758,-0.017215641358884093,0.004598098012701168,0.0024985419913143847,0.002347383137700554,-0.06957157289218241,25.40999984741211
2010-01-27,10344.0703125,10252.080078125,-0.007089414851121578,0.0018198091058931887,-0.008893040321258927,-0.004203199573680982,-0.0031979682482469185,-0.0002520690105956014,-0.03384496715922447,24.549999237060547
2010-01-28,10309.73046875,10414.2900390625,0.015822151183115363,0.005623287194957527,0.010141833545448398,0.004880152210944955,0.008022730460319094,0.0041072126677839105,-0.05743380412344701,23.139999389648438
