name,n_days,mean_bps,t,sharpe,cum_bps,period,strategy
A_火曜_前場後半_非鉄Short_ALL,101,8.596299235086748,1.2819792355815802,2.016927597073692,868.2262227437616,ALL,A_火曜_前場後半_非鉄Short
A_火曜_前場後半_非鉄Short_IS,55,-1.0669221997671452,-0.17431639190196055,-0.3716437962602332,-58.680720987192984,IS,A_火曜_前場後半_非鉄Short
A_火曜_前場後半_非鉄Short_OOS,46,20.150150950672927,1.592061869222854,3.7115133701659326,926.9069437309546,OOS,A_火曜_前場後半_非鉄Short
B_水曜_引け前_全体Long_ALL,102,1.9453098114366778,0.4855036137644465,0.760085390872297,198.42160076654113,ALL,B_水曜_引け前_全体Long
B_水曜_引け前_全体Long_IS,58,-1.7031246585557351,-0.3106186635219673,-0.6448868990927293,-98.78123019623264,IS,B_水曜_引け前_全体Long
B_水曜_引け前_全体Long_OOS,44,6.754609794608493,1.1594463777063693,2.7637218634483447,297.2028309627737,OOS,B_水曜_引け前_全体Long
C_LME下落_引け前_非鉄Long_ALL,93,3.042793208353763,0.6607107856222864,1.0832780079805204,282.9797683769,ALL,C_LME下落_引け前_非鉄Long
C_LME下落_引け前_非鉄Long_IS,59,-5.03209659958095,-1.174875332826559,-2.4184425998629484,-296.89369937527607,IS,C_LME下落_引け前_非鉄Long
C_LME下落_引け前_非鉄Long_OOS,34,17.05510199271106,1.7370210713154348,4.710159703013873,579.873467752176,OOS,C_LME下落_引け前_非鉄Long
D_毎日_寄30分_非鉄Long_ALL,501,2.046374533306964,0.49425785821603085,0.3491441134835136,1025.233641186789,ALL,D_毎日_寄30分_非鉄Long
D_毎日_寄30分_非鉄Long_IS,280,-5.075829023382182,-1.0841240699045092,-1.024400956895191,-1421.232126547011,IS,D_毎日_寄30分_非鉄Long
D_毎日_寄30分_非鉄Long_OOS,221,11.069980849474211,1.5287349394620295,1.6259457794622496,2446.4657677338005,OOS,D_毎日_寄30分_非鉄Long
E_前場弱_後場_非鉄Long_ALL,280,3.540818722848442,0.46944987635106195,0.44358843779819,991.4292423975637,ALL,E_前場弱_後場_非鉄Long
E_前場弱_後場_非鉄Long_IS,151,-6.215595419693171,-0.6533148855554192,-0.8406284503494423,-938.5549083736689,IS,E_前場弱_後場_非鉄Long
E_前場弱_後場_非鉄Long_OOS,129,14.961117447839008,1.2506885313099123,1.7411024098121772,1929.9841507712322,OOS,E_前場弱_後場_非鉄Long
E2_LME下落_前場弱_後場_非鉄Long_ALL,52,33.66681008342065,2.0506485979113775,4.496344493947224,1750.6741243378738,ALL,E2_LME下落_前場弱_後場_非鉄Long
E2_LME下落_前場弱_後場_非鉄Long_IS,32,20.22026748009279,1.1677311853462429,3.2639078873507565,647.0485593629693,IS,E2_LME下落_前場弱_後場_非鉄Long
E2_LME下落_前場弱_後場_非鉄Long_OOS,20,55.18127824874523,1.695861639662722,5.995776326798239,1103.6255649749046,OOS,E2_LME下落_前場弱_後場_非鉄Long
F_火曜_前場強_後場_非鉄Short_ALL,56,22.309798837447975,1.2754522773232022,2.6948847972072008,1249.3487348970866,ALL,F_火曜_前場強_後場_非鉄Short
F_火曜_前場強_後場_非鉄Short_IS,23,-23.186365460439607,-1.0899195030859057,-3.593358189540427,-533.2864055901109,IS,F_火曜_前場強_後場_非鉄Short
F_火曜_前場強_後場_非鉄Short_OOS,33,54.019246681430225,2.2071237413704377,6.074908160997443,1782.6351404871975,OOS,F_火曜_前場強_後場_非鉄Short
G_水曜_前場弱_後場_非鉄Long_ALL,53,23.06968100936636,1.4091531459997069,3.060485062122638,1222.693093496417,ALL,G_水曜_前場弱_後場_非鉄Long
G_水曜_前場弱_後場_非鉄Long_IS,34,4.838119797679415,0.24973316349708574,0.6771841186240515,164.4960731211001,IS,G_水曜_前場弱_後場_非鉄Long
G_水曜_前場弱_後場_非鉄Long_OOS,19,55.69458001975351,1.925840939564175,6.985759315716796,1058.1970203753167,OOS,G_水曜_前場弱_後場_非鉄Long
