date,n_codes,avg_intraday,avg_daily
2026-04-15,4223,-29.327986442106965,
2026-04-16,4217,11.617032349964008,54.35079011572777
2026-04-17,4216,-23.182996661655235,-20.154000649148777
2026-04-20,4231,-22.272138981192892,18.523635549867176
2026-04-21,4213,-40.93215771446125,-3.9964674427509257
2026-04-22,4213,-62.04351824853584,-68.43601909623422
2026-04-23,4231,-78.09070720934773,-84.26623281123454
2026-04-24,4216,-45.17409722742637,-29.376963583456188
2026-04-27,4237,-31.9104588694857,-23.574885007451968
2026-04-28,4215,64.98356536527852,75.73724556315095
2026-04-30,4230,-27.410974752229205,-74.9525684802025
2026-05-01,4207,0.5323590242763772,-1.8478267976477187
2026-05-07,4256,17.989620419090574,118.32700976122814
2026-05-08,4224,36.01759762941125,22.872973175692646
2026-05-11,4236,-6.360212656031633,28.122479785123073
2026-05-12,4216,-73.05088299860599,-39.8621510372823
2026-05-13,4223,41.04755034550106,34.04658514206947
2026-05-14,4223,-84.72399779538345,-70.60339426366264
