決済,年率%,Sharpe,MDD%,N取引,N日
翌09:00 寄成(MOO) [IS],8.177345970987737,0.7946778562988284,-9.759319905995556,1757,500
翌09:00 寄成(MOO) [OOS],-30.89072854999265,-2.8102487168804973,-9.962021972734536,522,64
翌09:05 [IS],31.479322811335052,1.6895575056276892,-13.160214713317753,2172,500
翌09:05 [OOS],-58.06158724925636,-3.231809564970656,-23.262172138281933,637,64
翌09:15 [IS],63.400449754455536,2.0347217225882313,-14.166372288300266,2434,500
翌09:15 [OOS],-66.5827504520202,-3.1480250784109858,-26.81369645189412,713,64
翌引け 引成(MOC) [IS],49.07773093635912,1.277061161100295,-40.904156045595606,2487,500
翌引け 引成(MOC) [OOS],-47.60044806524777,-1.1103781161686905,-26.132652972273117,723,64
