決済,gross bps/取引,勝率%,中央値bps,N
翌09:00 寄成(MOO),13.660143357694997,53.18121983326021,8.340283569641116,2279
翌09:05,28.032434546376795,55.64257742969028,26.380873866447274,2809
翌09:15,34.46160230905287,56.02160788052113,29.90224266820052,3147
翌引け 引成(MOC),40.58441603890732,51.93146417445483,12.871475716657033,3210
