date,構成,戦略,BH,差
2021,MA25/75順張り,18.87377936044188,21.611987306422243,-2.7382079459803634
2022,MA25/75順張り,-15.930968768837129,-5.045125735021627,-10.885843033815501
2023,MA25/75順張り,36.312951661511875,44.79338633291383,-8.480434671401959
2024,MA25/75順張り,35.40415242982093,29.565621354765458,5.838531075055474
2025,MA25/75順張り,63.50856731572172,88.78435319392483,-25.27578587820311
2026,MA25/75順張り,80.22485118873381,86.21308878922356,-5.988237600489754
2021,RSI<30反発,0.9504007808387893,17.2297579717269,-16.279357190888113
2022,RSI<30反発,5.966650782951177,9.87253558336798,-3.9058848004168034
2023,RSI<30反発,5.994999791373923,40.37644676160224,-34.38144697022832
2024,RSI<30反発,8.750938700464772,19.665168375684907,-10.914229675220135
2025,RSI<30反発,9.128553195435597,26.748985345687103,-17.620432150251506
2026,RSI<30反発,-1.1380024528705457,14.056629372890828,-15.194631825761373
