構成,年率%,Sharpe,MDD%,N日
RSI<30反発 戦略,5.346571993156912,0.679501191645342,-14.010625871481908,1381
RSI<30反発 同銘柄BH,23.13236113562491,1.0063800990452438,-30.143113812293997,1381
MA25/75順張り 戦略,36.196255106168195,1.4314452496851517,-22.17523363672139,1381
MA25/75順張り 同銘柄BH,44.84083677657371,1.3093579239859117,-35.92532469651552,1381
混合15銘柄 戦略,21.597411411019387,1.4662384899581236,-15.122022864463158,1381
混合15銘柄 同銘柄BH,35.25101365238938,1.3000219035548506,-31.13717387538657,1381
