構成,年率%,Sharpe,MDD%,勝率%,N日
"RSI<30反発 (IS, 7銘柄)",6.578967206753039,0.8447149212940486,-16.587452630624522,20.68661971830986,1136
"RSI<30反発 (OOS, 7銘柄)",5.346571993156912,0.679501191645342,-14.010625871481908,17.74076755973932,1381
"MA25/75順張り (IS, 8銘柄)",21.07676797571969,1.326058717675163,-23.28258255390758,48.41549295774648,1136
"MA25/75順張り (OOS, 8銘柄)",36.196255106168195,1.4314452496851517,-22.17523363672139,54.30847212165097,1381
"混合15銘柄 (IS, 15銘柄)",14.45933020733099,1.4891479459938473,-13.973071253074032,53.345070422535215,1136
"混合15銘柄 (OOS, 15銘柄)",21.597411411019387,1.4662384899581236,-15.122022864463158,55.4670528602462,1381
