code,name,N,net_avg,wr,sharpe
59290,三和ホールディングス,6,1.0014674509618091,83.33333333333334,10.469983475357727
59460,長府製作所,7,0.5417669409673066,57.14285714285714,8.178960200786637
34330,トーカロ,12,0.5546887089917334,75.0,7.860889280878204
59910,日本発條,8,1.2841981050657247,62.5,7.827305293777906
59330,アルインコ,7,0.3744920086793915,57.14285714285714,6.677235193063998
59750,東プレ,9,0.6509496508549879,55.55555555555556,6.008725465958478
59470,リンナイ,9,0.5357411655090577,66.66666666666666,5.934955170763826
59380,ＬＩＸＩＬ,8,0.6513963067228972,62.5,5.313921819104141
59110,横河ブリッジホールディングス,7,0.3420122394363782,71.42857142857143,4.027373914271374
59010,東洋製罐グループホールディングス,9,0.7220753166989867,44.44444444444444,3.6176932589159003
34310,宮地エンジニアリンググループ,12,0.4655649042639405,41.66666666666667,2.4291354164353915
59880,パイオラックス,15,0.2917174510899452,53.333333333333336,1.7705529649412755
34450,ＲＳ　Ｔｅｃｈｎｏｌｏｇｉｅｓ,9,0.21965696181233144,33.33333333333333,0.8446298158024077
59890,エイチワン,12,-0.0004712750420539207,50.0,-0.004822874608938394
59590,岡部,7,-0.048539715296831085,57.14285714285714,-0.6144998710384573
59700,ジーテクト,20,-0.30635037832350437,45.0,-3.063543062041666
34360,ＳＵＭＣＯ,8,-0.9329843452502816,37.5,-3.0677553465052445
34430,川田テクノロジーズ,16,-0.5324551160024455,43.75,-3.781273662379973
59430,ノーリツ,10,-0.38419967398509275,50.0,-4.301936680769314
59570,日東精工,6,-2.6032414655302927,16.666666666666664,-19.20977689255971
59320,三協立山,5,-1.6224671258390757,0.0,-37.94247280376103
