year,long_only,market_neutral
2016,9.690909042645512,16.204975396462572
2017,-5.610543422744296,-16.42225826275423
2018,-35.01187612438768,-24.462305950725728
2019,-16.648640717802866,-22.751568057135817
2020,12.348233949205301,0.7936260330083877
2021,-40.44085364032664,-37.75826218662968
2022,-13.507164758771806,-12.176563410104313
2023,16.812786827481464,4.261965122385281
2024,2.717189437793688,-3.946135997772693
2025,70.35835283102192,43.8261745486131
2026,31.496467242558566,18.805208223346213
