,label,n,ann_return,sharpe,t,max_dd,win_rate
生NSI_gross,生NSI gross,1951,0.06130573586311954,0.5088102998103686,1.4157424635877258,-0.23334210341697825,0.5228088159917991
生NSI_net,生NSI net,1951,0.06047908286465721,0.5021670119775008,1.397257804990343,-0.2339371699091194,0.522296258329062
サイズ中立NSI_gross,サイズ中立NSI gross,1951,0.019398182605515603,0.2895280368229576,0.8055991324904757,-0.18610196962743442,0.503844182470528
サイズ中立NSI_net,サイズ中立NSI net,1951,0.01857152960705327,0.27718612026224526,0.7712582880469392,-0.18740772893649094,0.503844182470528
