date,ls_raw,ls_sizeneu
2018-07-02,0.006165016015065885,0.005311917005398511
2018-07-03,-0.0003808246450681006,-0.008520802830085886
2018-07-04,0.008434809749248729,-0.002984366627148712
2018-07-05,0.010929211402002929,-0.0068791718594621715
2018-07-06,-0.01619634842846825,-6.446546247004109e-05
2018-07-09,-0.006736295516993826,0.00015152725391662236
2018-07-10,-0.0006717735256923767,-0.0030730512559867893
2018-07-11,-0.003258033441861899,-0.006556661847252065
2018-07-12,-4.336966954926469e-06,0.004815441647495311
2018-07-13,-0.0028131400924535487,-0.004287758606109566
2018-07-17,0.013169842647874103,0.005644765620577786
2018-07-18,-0.012263782918017363,-0.003759850465579079
2018-07-19,-0.0002537353828860533,-0.00366735428003449
2018-07-20,-0.00333479379431483,-0.004872195160452928
2018-07-23,0.007723962245656152,0.0094942133063479
2018-07-24,-0.004387433741769,0.0024997730865571922
2018-07-25,-0.003340598301850949,0.005467902178338223
2018-07-26,0.0058837055913130275,0.0014278394434963852
2018-07-27,0.0055636309183966955,-0.0013733444153247191
2018-07-30,0.0072516799562426,0.0034472841614190328
2018-07-31,0.0008685151081950677,0.005025334900833579
2018-08-01,0.002583739394898273,0.002167607615698804
2018-08-02,0.0006025776295403816,-0.002052101288715664
2018-08-03,0.007229583004657293,-0.0018796837085177532
2018-08-06,0.0009533846639819196,0.0022273458630154563
2018-08-07,0.009643606997528663,0.003865380343641339
2018-08-08,-0.012002025026049756,0.002526314854274958
2018-08-09,-0.0021915625403435414,0.00380397698814637
2018-08-10,0.004500858663965223,0.0024871089774510784
2018-08-13,0.0058809136470193354,0.0014496642371820134
2018-08-14,-0.004154450112477531,-0.0015870079047204458
2018-08-15,0.011875895763428054,0.004960947314358968
2018-08-16,0.0035548484098795498,-0.0028867165514994877
2018-08-17,-0.0076113643364452335,8.500355483673921e-05
2018-08-20,0.001791281676877362,-0.0026995230493942948
2018-08-21,0.00013860479648234976,0.0033570236160939074
2018-08-22,-0.011158523548940067,0.0036445594537539896
2018-08-23,-0.009988844298141578,-0.0007167513382726077
2018-08-24,-0.004348927513530785,0.0016475303991471627
2018-08-27,-0.010521569055867467,-0.0011547167268366708
2018-08-28,0.0014630328393408104,-0.002470519852030052
2018-08-29,-0.0037625355543302024,0.002864127869108373
2018-08-30,-0.008340865330097025,0.0004534788943127881
2018-08-31,0.0011802364822771606,0.0007978653251294984
2018-09-03,0.0034006889297021545,-0.0012417770574542578
2018-09-04,-0.006300189766629036,-0.0009412885242919568
