date,sym,S1_open10,S2_morning,S3_lunchgap,S4_afternoon,S5_closing,full_day
2024-12-04,8035.T,-1.9996000799837876,-205.99999999999952,53.093730855626745,28.437944342880606,-8.102086287219423,-135.972805438912
2024-12-11,8035.T,33.05785123966842,82.37232289950657,-4.084967320261423,-16.34654679198988,24.559967253376946,119.83471074380248
2024-12-18,8035.T,52.74261603375629,-23.084994753410637,-16.82793437105645,61.10408765276132,8.376963350784639,82.27848101265866
2024-12-25,8035.T,-37.91868548556954,6.343835906110762,-27.472527472527375,23.31002331002363,8.456659619451301,-27.38571729513417
2025-01-08,8035.T,119.44755505785665,143.85835485060784,5.454545454546267,-7.268762493185532,9.092562284052086,272.48973497573826
2025-01-15,8035.T,-62.63048016701411,26.73796791443861,-19.047619047618536,-194.65648854961825,-40.87193460490468,-288.4797874359457
2025-01-22,8035.T,-36.33060853769354,72.92616226071135,-39.81900452488696,-16.354715609667725,-23.66217692027717,-43.59673024523114
2025-01-29,8035.T,-108.87096774193527,-93.76273950264968,-30.864197530864335,80.4953560371513,214.98771498771552,58.467741935483986
2025-02-05,8035.T,-55.30129672006056,-36.43336529242536,7.698229407235857,13.461538461538858,13.443441521028276,-57.20823798627039
2025-02-12,8035.T,-101.64940544687417,-44.565006781631666,-46.71078240560567,33.242080563160584,-5.846813486649616,-164.94054468737974
2025-02-19,8035.T,57.76892430278791,219.84551396316166,7.751937984497026,58.09450038729569,7.7011936850213125,354.58167330677304
2025-03-05,8035.T,24.50980392156854,-42.2316070237827,-26.785714285714192,-82.81110116383216,-40.62288422478022,-167.11229946524077
2025-03-12,8035.T,49.41176470588226,60.875673144462624,-48.87130556202046,14.03180542563165,-88.74357776739839,-14.117647058823346
2025-03-19,8035.T,51.59264244055662,78.10756527560913,-24.35783879539466,-95.44950055493939,-26.893769610040195,-17.94526693584597
2025-03-26,8035.T,-85.48882069267849,-4.421843908910539,-26.54280026542777,79.84031936127734,-30.803080308030584,-67.9526523454621
2025-04-02,8035.T,93.36609336609402,141.18792599805198,-21.603456553048737,-67.35626653836869,12.109469605230405,157.24815724815767
2025-04-09,8035.T,-61.797752808988584,81.96721311475308,-131.7633865993828,-124.99999999999956,74.79861910241637,-162.92134831460635
2025-04-16,8035.T,-5.027652086475598,15.090543259557165,20.090406830737262,-203.00751879699263,66.51317472499363,-108.09451985922536
