ym,n,mean_bp,tstat
2024-11,8,-40.2231463963733,-0.6597767629903423
2024-12,20,0.2651229925512144,0.00675035250739534
2025-01,19,77.04373508725219,0.9726291640393017
2025-02,18,-54.961594547028625,-1.5122506503927302
2025-03,20,-59.26137601088099,-0.9434121023698685
2025-04,20,7.196269519043516,0.11431078829006754
2025-05,19,-82.5810979450788,-1.6718319878796315
2025-06,20,6.130215178064566,0.12805737836586517
2025-07,25,-19.80278923217135,-0.49491748271906644
2025-08,20,16.411096779244467,0.5204788984444462
2025-09,20,91.96529909433931,2.5363613397739297
2025-10,24,107.92787035477868,2.217031793661027
2025-11,17,-15.361380449781544,-0.43805637978613426
2025-12,20,8.007284669443617,0.17970391684601245
2026-01,20,159.66355585285126,3.3104709028925803
2026-02,14,185.52501641908887,3.4823747524826665
2026-03,18,38.33491168335219,0.8092992400434037
2026-04,8,-123.62982147977417,-1.3774029285069065
