sym,S1_open10,S2_morning,S3_lunchgap,S4_afternoon,S5_closing,full_day,n
6146.T,-1.226257236305996,-12.9622438746646,-4.119683349458743,-0.05864844236087352,8.377734968726884,6.786403417903507,65
6503.T,-16.36020988096702,-7.543537368492512,-5.470445552100176,5.756300809490561,1.307420338502748,-5.9657933580740385,69
6857.T,13.701389378867773,-0.1132550459014885,-8.651203476931508,23.717668457719842,9.083156608233043,53.68693024782174,63
6920.T,12.73557744020873,28.271900658396653,-6.930762763659408,-23.017176636287683,7.612883285207481,34.601821500994625,67
8035.T,6.261172354872574,17.649796856585667,-5.550453244773239,-7.593082147333162,-2.49148068418985,24.14494281718804,66
