date,morning_vol,fwd_bps,med20,vol_ratio,sym
2025-04-01,291200.0,-6.0741040696499216,,,5711.T
2025-04-02,299200.0,-32.83398317258324,,,5711.T
2025-04-03,650500.0,-59.3723494486853,,,5711.T
2025-04-04,928600.0,66.21004566210064,,,5711.T
2025-04-07,1101500.0,22.483137646764906,,,5711.T
2025-04-08,677900.0,-126.46370023419173,,,5711.T
2025-04-09,408400.0,29.62231547765981,,,5711.T
2025-04-10,672700.0,34.14523104939615,,,5711.T
2025-04-11,411200.0,192.30769230769164,,,5711.T
2025-04-14,350300.0,-72.00720072007228,,,5711.T
2025-04-15,246700.0,-42.84103720405885,530850.0,0.4647263822171988,5711.T
2025-04-16,300300.0,-36.8408933916653,411200.0,0.7303015564202334,5711.T
2025-04-17,251600.0,25.183150183150094,409800.0,0.6139580283064909,5711.T
2025-04-18,158800.0,6.779661016949046,408400.0,0.38883447600391774,5711.T
2025-04-21,356400.0,48.622366288493254,379350.0,0.9395017793594306,5711.T
2025-04-22,259100.0,9.101251422070078,356400.0,0.7269921436588104,5711.T
2025-04-23,307600.0,-13.531799729363803,353350.0,0.8705249752370171,5711.T
2025-04-24,317600.0,-99.29390997352128,350300.0,0.9066514416214673,5711.T
2025-04-25,246400.0,-22.133687472333243,333950.0,0.7378350052403054,5711.T
2025-04-28,420700.0,31.09729009329154,317600.0,1.3246221662468514,5711.T
2025-04-30,351200.0,40.3677954698356,333950.0,1.0516544392873184,5711.T
2025-05-01,504200.0,-24.520731163619747,350750.0,1.4374910905203135,5711.T
2025-05-02,252500.0,-13.336296954878923,353800.0,0.71368004522329,5711.T
2025-05-07,358800.0,-33.30373001776188,350750.0,1.022950819672131,5711.T
2025-05-08,328500.0,-29.08277404921722,350750.0,0.9365645046329294,5711.T
2025-05-09,240400.0,-55.37098560354337,339400.0,0.7083087802003536,5711.T
2025-05-12,294600.0,105.61056105610645,323050.0,0.9119331372852499,5711.T
2025-05-13,279700.0,52.41319065298011,312600.0,0.8947536788227767,5711.T
2025-05-14,328500.0,54.656755574988836,303950.0,1.0807698634643856,5711.T
2025-05-15,899700.0,-20.463847203274767,303950.0,2.9600263201184407,5711.T
2025-05-16,320400.0,20.5479452054802,303950.0,1.054120743543346,5711.T
2025-05-19,404600.0,-83.93829401088904,312600.0,1.2943058221369161,5711.T
2025-05-20,254400.0,-31.861629494766007,319000.0,0.7974921630094044,5711.T
2025-05-21,223000.0,40.69635993669385,319000.0,0.6990595611285266,5711.T
2025-05-22,275800.0,22.691173133650988,319000.0,0.864576802507837,5711.T
2025-05-23,232500.0,-8.99887514060782,312600.0,0.7437619961612284,5711.T
2025-05-26,213500.0,116.22708985248087,312600.0,0.6829814459373,5711.T
2025-05-27,150000.0,17.667844522968323,306100.0,0.4900359359686377,5711.T
2025-05-28,218300.0,-86.3213811420982,287150.0,0.7602298450287306,5711.T
2025-05-29,220700.0,-19.942388654996535,287150.0,0.7685878460734807,5711.T
2025-05-30,166100.0,42.240995998221734,277750.0,0.598019801980198,5711.T
2025-06-02,296200.0,67.88866259334725,265100.0,1.1173142210486608,5711.T
2025-06-03,193200.0,4.457321149988758,265100.0,0.7287815918521313,5711.T
2025-06-04,291700.0,-90.90909090909038,265100.0,1.100339494530366,5711.T
2025-06-05,288600.0,54.01755570560329,265100.0,1.088645794039985,5711.T
2025-06-06,256000.0,-17.73442695632843,265100.0,0.965673330818559,5711.T
2025-06-09,286200.0,-31.354983202687148,265900.0,1.0763444904099286,5711.T
2025-06-10,275500.0,-44.50378282153999,265900.0,1.0361037984204589,5711.T
2025-06-11,171300.0,60.21409455843063,265750.0,0.6445907808090311,5711.T
2025-06-12,235300.0,20.152261531571902,255200.0,0.9220219435736677,5711.T
2025-06-13,363900.0,18.058690744922057,244850.0,1.486216050643251,5711.T
2025-06-16,322800.0,-80.00000000000007,244850.0,1.3183581784766183,5711.T
2025-06-17,132600.0,29.07626929098628,244850.0,0.5415560547273841,5711.T
2025-06-18,237400.0,57.67524401064872,233900.0,1.0149636596836256,5711.T
2025-06-19,242300.0,35.84229390680926,236350.0,1.0251745292997674,5711.T
2025-06-20,158600.0,-51.46565227120203,236350.0,0.6710387137719483,5711.T
2025-06-23,266600.0,18.264840182649067,236350.0,1.1279881531626825,5711.T
2025-06-24,194000.0,34.0136054421758,239850.0,0.8088388576193454,5711.T
2025-06-25,261200.0,-31.847133757961778,239850.0,1.0890139670627474,5711.T
2025-06-26,361700.0,9.07852927825692,249150.0,1.451735902067028,5711.T
2025-06-27,994500.0,-61.57906311853978,258600.0,3.8457076566125292,5711.T
2025-06-30,377800.0,-43.5161009573537,263900.0,1.431602879878742,5711.T
2025-07-01,214200.0,20.03561887800487,263900.0,0.8116710875331565,5711.T
2025-07-02,181500.0,48.69411243913157,263900.0,0.6877605153467222,5711.T
2025-07-03,715000.0,27.807486631015177,258600.0,2.7648878576952822,5711.T
2025-07-04,431800.0,-26.11534276387384,258600.0,1.6697602474864657,5711.T
2025-07-07,212100.0,-48.618784530386485,263900.0,0.8037135278514589,5711.T
2025-07-08,234200.0,-2.2021581149522795,251750.0,0.9302879841112215,5711.T
2025-07-09,561600.0,-54.656755574988836,239850.0,2.341463414634146,5711.T
2025-07-10,235400.0,-24.202420242024345,251750.0,0.9350546176762662,5711.T
2025-07-11,345100.0,-38.851715950787295,251750.0,1.3708043694141012,5711.T
2025-07-14,181100.0,-60.6323083585969,251750.0,0.719364448857994,5711.T
2025-07-15,227900.0,28.44638949671685,239850.0,0.9501771940796331,5711.T
2025-07-16,150900.0,-19.819423034573845,239850.0,0.6291432145090682,5711.T
2025-07-17,208500.0,8.884940026654409,238850.0,0.8729328030144442,5711.T
