date,open_vol,fwd_bps,med20,vol_ratio,sym
2025-04-01,143300.0,63.20081549439305,,,5711.T
2025-04-02,130900.0,-34.87894952810877,,,5711.T
2025-04-03,321600.0,-59.3723494486853,,,5711.T
2025-04-04,483900.0,-178.21341055914485,,,5711.T
2025-04-07,481900.0,237.3054350599646,,,5711.T
2025-04-08,316100.0,-135.7042583060364,,,5711.T
2025-04-09,190800.0,56.930693069305875,,,5711.T
2025-04-10,335700.0,45.57885141294405,,,5711.T
2025-04-11,185400.0,298.578199052133,,,5711.T
2025-04-14,144200.0,-45.12635379061325,,,5711.T
2025-04-15,124000.0,-78.63401482812837,253450.0,0.4892483724600513,5711.T
2025-04-16,111700.0,-132.26909920182496,190800.0,0.5854297693920335,5711.T
2025-04-17,131300.0,101.49942329873207,188100.0,0.6980329611908559,5711.T
2025-04-18,67400.0,98.06157354617983,185400.0,0.3635382955771305,5711.T
2025-04-21,142300.0,-75.46306883146615,164800.0,0.8634708737864077,5711.T
2025-04-22,120900.0,82.51203300481347,144200.0,0.8384188626907073,5711.T
2025-04-23,123400.0,-9.025270758122872,143750.0,0.8584347826086957,5711.T
2025-04-24,149000.0,-35.531867643793234,143300.0,1.0397766922540126,5711.T
2025-04-25,79900.0,-30.95975232198178,143750.0,0.5558260869565217,5711.T
2025-04-28,217200.0,0.0,143300.0,1.5157013258897418,5711.T
2025-04-30,198600.0,-6.696428571428825,143750.0,1.3815652173913044,5711.T
2025-05-01,125400.0,22.39641657334923,146600.0,0.8553888130968622,5711.T
2025-05-02,115300.0,-6.672597864768592,146600.0,0.786493860845839,5711.T
2025-05-07,120200.0,2.228163992870069,143250.0,0.8390924956369983,5711.T
2025-05-08,191900.0,33.768572714993894,136800.0,1.4027777777777777,5711.T
2025-05-09,126600.0,-57.57307351638596,136800.0,0.9254385964912281,5711.T
2025-05-12,134600.0,65.74621959237304,128950.0,1.0438154323381155,5711.T
2025-05-13,141100.0,-54.019014693171826,128950.0,1.09422256688639,5711.T
2025-05-14,152400.0,26.160889470241422,128950.0,1.1818534315626212,5711.T
2025-05-15,434600.0,-90.31384059607129,128950.0,3.370298565335401,5711.T
2025-05-16,148900.0,78.07118254879342,128950.0,1.1547111283443194,5711.T
2025-05-19,114100.0,-38.74202370100277,132950.0,0.8582173749529899,5711.T
2025-05-20,115100.0,-97.21908207099284,132950.0,0.8657389996239188,5711.T
2025-05-21,87600.0,24.83069977426533,130600.0,0.6707503828483921,5711.T
2025-05-22,145000.0,47.77070063694211,130600.0,1.110260336906585,5711.T
2025-05-23,84300.0,31.624124689406674,130600.0,0.6454823889739663,5711.T
2025-05-26,86500.0,109.44829126647404,130600.0,0.6623277182235835,5711.T
2025-05-27,58900.0,48.737261852016545,130600.0,0.45099540581929554,5711.T
2025-05-28,90000.0,-136.53380312706466,126000.0,0.7142857142857143,5711.T
2025-05-29,123500.0,11.113580795731881,126000.0,0.9801587301587301,5711.T
2025-05-30,83200.0,62.37469369570148,124450.0,0.6685415829650462,5711.T
2025-06-02,100500.0,-20.18842530282616,121850.0,0.8247845711940911,5711.T
2025-06-03,57800.0,94.44569372610844,117750.0,0.4908704883227176,5711.T
2025-06-04,102500.0,-24.55357142857162,117650.0,0.8712282192945177,5711.T
2025-06-05,136900.0,38.2022471910104,114600.0,1.1945898778359512,5711.T
2025-06-06,102200.0,-24.368630926008272,114600.0,0.8917975567190227,5711.T
2025-06-09,115100.0,-69.16555109326205,108300.0,1.0627885503231764,5711.T
2025-06-10,53700.0,17.913121361397,108300.0,0.49584487534626037,5711.T
2025-06-11,76800.0,98.50011193194507,102350.0,0.7503663898387885,5711.T
2025-06-12,116100.0,24.641577060930953,101350.0,1.1455352738036506,5711.T
2025-06-13,209100.0,-9.004952723997706,101350.0,2.0631475086334485,5711.T
2025-06-16,135400.0,-44.60303300624413,101350.0,1.3359644795263936,5711.T
2025-06-17,44400.0,47.05355142280876,101350.0,0.43808584114454857,5711.T
2025-06-18,104100.0,97.99554565701473,95250.0,1.0929133858267717,5711.T
2025-06-19,73100.0,-2.2316447221604196,101350.0,0.721262950172669,5711.T
2025-06-20,40900.0,-69.242796515524,95250.0,0.4293963254593176,5711.T
2025-06-23,124200.0,-2.2784233310546576,95250.0,1.3039370078740158,5711.T
2025-06-24,102500.0,-33.783783783783996,101350.0,1.0113468179575729,5711.T
2025-06-25,69700.0,-90.4568068747169,102350.0,0.6809965803615047,5711.T
2025-06-26,68200.0,-2.267059623668466,102350.0,0.6663409868099658,5711.T
2025-06-27,469600.0,-115.92300962379731,101350.0,4.63344844597928,5711.T
2025-06-30,181400.0,-37.01284563466189,102350.0,1.7723497801660968,5711.T
2025-07-01,83800.0,-46.43962848297267,102500.0,0.817560975609756,5711.T
2025-07-02,66800.0,82.16744392627095,102500.0,0.6517073170731708,5711.T
2025-07-03,208400.0,107.80508840017245,102350.0,2.036150464093796,5711.T
2025-07-04,192500.0,-135.60051657339645,102350.0,1.880801172447484,5711.T
2025-07-07,92300.0,-72.75132275132323,103300.0,0.89351403678606,5711.T
2025-07-08,99800.0,30.932390631903672,97400.0,1.0246406570841888,5711.T
2025-07-09,242900.0,-61.17544242953854,101150.0,2.4013840830449826,5711.T
2025-07-10,79100.0,-39.543057996485054,103300.0,0.7657308809293321,5711.T
2025-07-11,173800.0,69.82325987344495,101150.0,1.7182402372713792,5711.T
2025-07-14,76100.0,-2.178174689609902,101150.0,0.7523479980227386,5711.T
2025-07-15,86100.0,-13.074743952931067,96050.0,0.8964081207704321,5711.T
2025-07-16,64700.0,-52.67778753292318,96050.0,0.6736074960957834,5711.T
2025-07-17,113200.0,8.884940026654409,89200.0,1.2690582959641257,5711.T
2025-07-18,61100.0,-11.071744906997472,96050.0,0.6361270171785528,5711.T
2025-07-22,146300.0,-78.93005919754393,96050.0,1.5231650182196772,5711.T
2025-07-23,225000.0,23.861171366594824,96050.0,2.342529932326913,5711.T
2025-07-24,158100.0,64.51612903225711,96050.0,1.6460176991150441,5711.T
2025-07-25,98200.0,-92.43336199484142,106500.0,0.9220657276995305,5711.T
2025-07-28,111500.0,45.52352048558417,106500.0,1.0469483568075117,5711.T
2025-07-29,104400.0,23.923444976077235,105650.0,0.988168480832939,5711.T
2025-07-30,52600.0,71.63012806598701,102100.0,0.515181194906954,5711.T
2025-07-31,544100.0,168.56392294220646,102100.0,5.329089128305583,5711.T
2025-08-01,179800.0,29.9081392864764,107950.0,1.665585919407133,5711.T
2025-08-04,98600.0,88.45738942826253,107950.0,0.9133858267716536,5711.T
2025-08-05,99600.0,57.19127303537297,102100.0,0.9755142017629774,5711.T
2025-08-06,143400.0,14.589412255106016,102100.0,1.404505386875612,5711.T
2025-08-07,111200.0,126.74007895283611,107950.0,1.0301065308012969,5711.T
2025-08-08,785700.0,-75.05070993914842,107800.0,7.288497217068645,5711.T
2025-08-12,183100.0,10.111223458038054,111350.0,1.6443646160754377,5711.T
2025-08-13,296200.0,12.02886928628688,111350.0,2.660080826223619,5711.T
2025-08-14,122600.0,-52.514643506362816,112350.0,1.0912327547841567,5711.T
2025-08-15,87400.0,217.30300568643335,117900.0,0.741306191687871,5711.T
2025-08-18,195900.0,43.12034496275929,117900.0,1.6615776081424936,5711.T
2025-08-19,152100.0,-77.91195948578134,133000.0,1.143609022556391,5711.T
2025-08-20,346300.0,-266.4607067001357,144850.0,2.390749050742147,5711.T
2025-08-21,115600.0,-11.790135586559058,147750.0,0.7824027072758037,5711.T
2025-08-22,139400.0,-86.29142969209691,133000.0,1.0481203007518798,5711.T
2025-08-25,180300.0,-1.946282600233662,131000.0,1.3763358778625954,5711.T
2025-08-26,119200.0,-13.757861635219637,141400.0,0.842998585572843,5711.T
2025-08-27,74800.0,56.87389684251754,141400.0,0.5289957567185289,5711.T
2025-08-28,88600.0,-19.600156801254933,141400.0,0.6265912305516266,5711.T
2025-08-29,85900.0,49.22228785193994,141400.0,0.6074964639321075,5711.T
2025-09-01,117900.0,-51.20126033871575,131000.0,0.9,5711.T
2025-09-02,125500.0,-17.47233546884108,120900.0,1.0380479735318444,5711.T
2025-09-03,203100.0,-139.7931826886245,124050.0,1.6372430471584039,5711.T
2025-09-04,242200.0,-83.49146110056881,132450.0,1.8286145715364288,5711.T
2025-09-05,161100.0,-68.79419071278426,132450.0,1.216308040770102,5711.T
2025-09-08,174100.0,-19.19385796545159,145750.0,1.1945111492281304,5711.T
2025-09-09,104900.0,-71.14016535281652,145750.0,0.7197255574614065,5711.T
2025-09-10,109800.0,-36.91470759665805,132450.0,0.8289920724801813,5711.T
2025-09-11,93800.0,40.80839486980237,124050.0,0.7561467150342603,5711.T
2025-09-12,319800.0,-93.72609028309054,122350.0,2.6138128320392315,5711.T
2025-09-16,70600.0,150.05771450557813,132450.0,0.5330313325783315,5711.T
2025-09-17,139300.0,-72.3533891850725,122350.0,1.138536984062117,5711.T
2025-09-18,143300.0,61.42034548944242,122350.0,1.1712300776460973,5711.T
2025-09-19,129000.0,-99.36938658513306,122350.0,1.0543522680833675,5711.T
2025-09-22,86400.0,86.07498087222609,127250.0,0.6789783889980353,5711.T
2025-09-24,179800.0,60.848069975281135,122350.0,1.4695545565999182,5711.T
2025-09-25,1243900.0,290.47875201721365,122350.0,10.1667347772783,5711.T
2025-09-26,490800.0,-145.13274336283132,127250.0,3.8569744597249507,5711.T
2025-09-29,329400.0,63.950301479993584,134150.0,2.455460305628028,5711.T
2025-09-30,272400.0,0.0,141300.0,1.9278131634819533,5711.T
2025-10-01,499000.0,-27.685492801772238,152200.0,3.278580814717477,5711.T
2025-10-02,585300.0,-144.35929424345017,167600.0,3.4922434367541766,5711.T
2025-10-03,158000.0,111.85278729929581,176950.0,0.8929076010172365,5711.T
2025-10-06,488100.0,10.615711252655036,167600.0,2.912291169451074,5711.T
