n,spearman_r,spearman_p,pearson_r,pearson_p,sym,name
247,-0.13660554235849606,0.031864614558419393,-0.04156112845386227,0.5155939896275162,5711.T,三菱マテリアル
246,0.03672584169853033,0.5664537997167678,0.05491362298276013,0.39114261334296047,5706.T,三井金属
246,-0.08252217249099698,0.1970788961077613,-0.024067193802244917,0.7072060994990159,5713.T,住友金属鉱山
244,0.054240077188456096,0.3989334805815603,0.028189188521661173,0.6612738030331712,8035.T,TEL
244,0.052131064933562975,0.41754766845721825,0.032321260173753814,0.6153770678825226,6857.T,アドバンテスト
245,0.02115807170153854,0.7417630986818005,-0.004431355936009798,0.9449838005309477,6146.T,ディスコ
244,0.044367711170912656,0.49030314199581804,0.06935802693316323,0.28052366052292294,4063.T,信越化学
247,-0.08160796656971893,0.20117997832796586,-0.1014635179450609,0.1116899090905872,6963.T,ローム
