date,acc,fwd_bps,sym
2025-04-01,0.5886917960088692,63.20081549439305,5711.T
2025-04-02,0.7360742705570292,-34.87894952810877,5711.T
2025-04-03,0.18627812615271117,-59.3723494486853,5711.T
2025-04-04,0.5425565827223462,-178.21341055914485,5711.T
2025-04-08,0.345679012345679,-135.7042583060364,5711.T
2025-04-09,0.35511363636363635,56.930693069305875,5711.T
2025-04-11,0.2875,298.578199052133,5711.T
2025-04-14,0.18780889621087316,-45.12635379061325,5711.T
2025-04-15,0.18207816968541468,-78.63401482812837,5711.T
2025-04-16,0.5428176795580111,-132.26909920182496,5711.T
2025-04-17,0.28347996089931576,101.49942329873207,5711.T
2025-04-18,0.38969072164948454,98.06157354617983,5711.T
2025-04-21,0.28661844484629295,-75.46306883146615,5711.T
2025-04-22,0.28207847295864263,82.51203300481347,5711.T
2025-04-23,0.24646464646464647,-9.025270758122872,5711.T
2025-04-24,0.7759237187127532,-35.531867643793234,5711.T
2025-04-25,0.2198473282442748,-30.95975232198178,5711.T
2025-04-28,0.6605504587155964,0.0,5711.T
2025-04-30,0.5479345284489477,-6.696428571428825,5711.T
2025-05-01,0.234251968503937,22.39641657334923,5711.T
2025-05-02,0.49352331606217614,-6.672597864768592,5711.T
2025-05-07,0.6265223274695535,2.228163992870069,5711.T
2025-05-08,0.2717031146454606,33.768572714993894,5711.T
2025-05-09,0.27749747729566093,-57.57307351638596,5711.T
2025-05-12,0.24860853432282004,65.74621959237304,5711.T
2025-05-13,0.34765998089780326,-54.019014693171826,5711.T
2025-05-14,0.49411764705882355,26.160889470241422,5711.T
2025-05-15,0.1913377192982456,-90.31384059607129,5711.T
2025-05-16,0.6489479512735327,78.07118254879342,5711.T
2025-05-19,0.3160322952710496,-38.74202370100277,5711.T
2025-05-20,0.326036866359447,-97.21908207099284,5711.T
2025-05-21,0.4106280193236715,24.83069977426533,5711.T
2025-05-22,0.16,47.77070063694211,5711.T
2025-05-23,0.6693069306930693,31.624124689406674,5711.T
2025-05-26,0.2357142857142857,109.44829126647404,5711.T
2025-05-27,0.3957345971563981,48.737261852016545,5711.T
2025-05-28,0.3574660633484163,-136.53380312706466,5711.T
2025-05-29,0.37374860956618466,11.113580795731881,5711.T
