strategy,N,win_rate,mean_ret,t_stat,sharpe,cls
ORB5ショート専用→14:50,2610,0.5490421455938698,0.10232236275668721,4.021939562825626,1.249967643498362,★★強↑
後場寄り方向→30分,6103,0.4835326888415533,-0.0006451934614148315,-0.12422604766300346,-0.02524508497106782,中立
後場寄り方向→60分,6080,0.4856907894736842,-0.0015518294553278388,-0.21398959697832806,-0.043568926506871046,中立
前場方向継続→後場60分,5127,0.47084064755217475,-0.013977530998624253,-1.9355732801762109,-0.4291613350909471,中立
早朝9:00-9:15→9:30継続,5256,0.5003805175038052,0.016954674505580285,2.9945132827193244,0.6557528005523364,★弱↑
早朝9:00-9:15→9:45継続,5225,0.5067942583732058,0.013340882400338462,1.775318191921504,0.3899194413615738,中立
10:00高安値圏逆張り→11:00,2775,0.4843243243243243,-0.023180508759879984,-1.9552760266120779,-0.5893253428082722,中立
前場±1.5%→後場逆張り30分,910,0.5186813186813187,0.0330731593495829,1.901987664602753,1.0014425147064971,中立
前場±1.5%→後場逆張り60分,907,0.5292171995589857,0.025682838860407894,1.1726145488820812,0.618431282730947,中立
14:30→14:35方向→14:50継続,6024,0.45202523240371845,0.0009327466239810772,0.2688626540340034,0.05499514104239904,中立
ORB5+市場70%同方向フィルター→14:50,1078,0.5807050092764379,0.24053039368504722,5.833671160070126,2.821852852018656,★★強↑
