strategy,period,n_trade_days,annual_freq,win_rate,mean_ret,sharpe_daily,t_stat,p_value,kelly_f,quarter_kelly
I1_金曜半導体ON,3M,12,47,0.8333333333333334,0.008695529034800255,10.31475540230743,2.250864162191832,0.04582042694459858,0.6692237315901076,0.1673059328975269
I2_NVDA安→半導体ON,3M,11,43,0.8181818181818182,0.008978690758019714,11.28215465242077,2.3571548878105384,0.040147656838696116,0.7127950831975173,0.17819877079937932
I3_SOX安→半導体ONショート,3M,15,58,0.4,-0.004018965131348748,-3.481113169966679,-0.8493046491281455,0.410000316500186,0.0,0.0
D1_SOX高→半導体CO,3M,30,116,0.7666666666666667,0.021789466696497315,11.837872335336407,4.084453997253649,0.000317930333725229,0.7004687517406278,0.17511718793515696
D2_SOX3連陽→半導体CO,3M,23,89,0.7391304347826086,0.017626971445040596,10.888122188127086,3.289399586998558,0.0033451118181610996,0.6216591660775224,0.1554147915193806
D3_半導体個別-3%リバ,3M,18,70,0.6666666666666666,0.025888724279089212,8.084685436232505,2.1607230701587903,0.04528176075708256,0.52444615196097,0.1311115379902425
D4_銅3連上→非鉄CO,3M,9,35,0.6666666666666666,0.019097667112907127,6.6433594041952215,1.2554769181087704,0.2447340841253685,0.41298484914390166,0.10324621228597541
S1_半導体MOM5日,3M,59,229,0.6949152542372882,0.07147849943819615,10.65188794346605,5.1540938763190836,3.20712700935972e-06,0.6065656404774392,0.1516414101193598
S2_半導体Zリバ5日,3M,13,50,0.6153846153846154,0.04288384421013869,6.8309022994085895,1.5514917820130971,0.14674606822488553,0.4185436295643349,0.10463590739108372
S3_信用倍率>5MOМ5日,3M,13,50,0.6923076923076923,0.018752815844661697,4.064858065952414,0.9232446326923515,0.3740711062635367,0.3144671577643209,0.07861678944108022
I1_金曜半導体ON,1Y,52,51,0.5769230769230769,0.0032094832556791037,3.352564799193497,1.5229252320196223,0.13395450476224158,0.23143338200862126,0.057858345502155316
I2_NVDA安→半導体ON,1Y,48,47,0.6458333333333334,0.004802008667304983,4.903639193514969,2.140123598574719,0.03756537686160192,0.3537059481598219,0.08842648703995548
I3_SOX安→半導体ONショート,1Y,52,51,0.40384615384615385,-0.0031429185749674475,-3.040306290894307,-1.381079692951729,0.17327634639215583,0.0,0.0
D1_SOX高→半導体CO,1Y,89,88,0.8314606741573034,0.019273779115342046,13.607712181265507,8.086858569035376,3.080223907043767e-12,0.7643743103338467,0.19109357758346168
D2_SOX3連陽→半導体CO,1Y,56,55,0.7857142857142857,0.014413897483904812,10.703942563175605,5.0458869145685235,5.258296168665797e-06,0.660813673425783,0.16520341835644575
D3_半導体個別-3%リバ,1Y,56,55,0.5535714285714286,0.00848458066149244,3.4748015203284575,1.6380371455343847,0.10712311224177361,0.2571283408219164,0.0642820852054791
D4_銅3連上→非鉄CO,1Y,30,30,0.6,0.01475103666597436,7.843481845364016,2.70625834340636,0.01127991000722937,0.4350482401229645,0.10876206003074113
S1_半導体MOM5日,1Y,249,246,0.6867469879518072,0.049349956766928084,8.594074790315865,8.542766422555038,1.3462659103775027e-15,0.5356126436448474,0.13390316091121185
S2_半導体Zリバ5日,1Y,53,52,0.6792452830188679,0.03518531776285293,7.686248973351075,3.5249431121482124,0.0008931612604245277,0.4992889528748156,0.1248222382187039
S3_信用倍率>5MOМ5日,1Y,53,52,0.7358490566037735,0.02419557588170677,8.162595988660891,3.743397671248532,0.0004550794847307011,0.5185764227470705,0.12964410568676762
