date,pnl,cum,dd
2026-03-02,-0.04541000186583212,0.9545899981341679,0.0
2026-03-03,0.010670054509696719,0.9647755254486707,0.0
2026-03-04,0.006363856927497314,0.9709152188597772,0.0
2026-03-05,-7.528774934371329e-05,0.9708421208381456,-7.528774934373317e-05
2026-03-06,0.004621842168128434,0.9753291998908304,0.0
2026-03-09,0.03636050977331742,1.0107926667956628,0.0
2026-03-10,0.012183052887132386,1.02310720731316,0.0
2026-03-11,-0.005410507478524145,1.0175716781166602,-0.005410507478524118
2026-03-12,-0.02254116015942043,0.9946344319465423,-0.027829708522327357
2026-03-13,-0.020682281450818928,0.9740631226843485,-0.047936408108793405
2026-03-16,-0.020510608090949282,0.9540844957191236,-0.06746381131973533
2026-03-17,0.005500714227047747,0.9593326418785315,-0.06233419623942482
2026-03-18,-0.0027745348098543476,0.95667094006941,-0.06493578265196864
2026-03-19,0.00396788991787689,0.9604669050472373,-0.061225550771385806
2026-03-23,0.011971560435155725,0.9719651926469773,-0.049986955717465364
2026-03-24,0.020203020687879485,0.9916018255419229,-0.030793822530070125
2026-03-25,-0.006937786839568817,0.9847223034465857,-0.03751796839294974
2026-03-26,0.003998760352927422,0.9886599719522513,-0.03366923340455441
2026-03-27,0.019658783016337677,1.008095823817799,-0.014672346542043413
2026-03-30,0.03066433805389688,1.0390084149500698,0.0
2026-03-31,0.015285493356654958,1.0548901711742975,0.0
2026-04-01,0.0380577298292232,1.095036896308352,0.0
2026-04-02,0.04168523473207955,1.1406837663712537,0.0
2026-04-03,0.03886586245199482,1.1850174247362624,0.0
2026-04-06,0.11963790819279294,1.3267904306037193,0.0
2026-04-07,0.02832368932951025,1.3643700305655062,0.0
2026-04-08,0.021840361485715706,1.3941683652333339,0.0
2026-04-09,0.00416238594733135,1.3999714320449952,0.0
2026-04-10,0.0014080560952967791,1.4019426703531275,0.0
2026-04-13,0.020928502669976933,1.4312832312727677,0.0
2026-04-14,-0.0006278832419000574,1.4303845525174388,-0.0006278832419002178
2026-04-15,0.004809058687379911,1.4372633557760168,0.0
2026-04-16,0.010379873645983317,1.4521819678049737,0.0
2026-04-17,0.04529657413066128,1.5179608359608612,0.0
2026-04-20,0.037047879952414126,1.5741980667840052,0.0
2026-04-21,0.0020007148873067947,1.5773475882917893,0.0
2026-04-22,-0.0036160666352174236,1.5716437943056267,-0.0036160666352174076
2026-04-23,0.0441176754212249,1.6409810651005847,0.0
2026-04-24,0.05730281774491499,1.7350139039969001,0.0
2026-04-27,0.08460534822666288,1.8818053595226598,0.0
2026-04-28,0.050794561900698566,1.977390838342,0.0
2026-04-30,0.0707071514039031,2.1172065117333387,0.0
2026-05-01,0.025222741254399897,2.1706082637609194,0.0
2026-05-07,-0.001960121718908435,2.1663536073598793,-0.0019601217189085807
2026-05-08,-0.006767335710244517,2.1516931652317757,-0.008714192627448325
2026-05-11,-0.011658410756342493,2.126607842489889,-0.02027100974673013
2026-05-12,-0.03805376817975866,2.045682400642522,-0.05755338962081702
2026-05-13,0.002631643635294675,2.0510659077120073,-0.0550732059970076
2026-05-14,0.028096378760755457,2.108693432318357,-0.028524184891513094
2026-05-15,0.062491917164026835,2.240469727615123,0.0
2026-05-18,0.07832958919870862,2.415964800991358,0.0
2026-05-19,0.05243260860896661,2.542640137814778,0.0
2026-05-20,0.04378456058735068,2.6539685189807583,0.0
2026-05-21,0.04577101525184732,2.7754433525409494,0.0
2026-05-22,0.036887197979731265,2.8778216809676564,0.0
2026-05-25,0.0493687795523951,3.019896225126452,0.0
2026-05-26,0.04189315603198999,3.1464092088860918,0.0
2026-05-27,0.03100374058157683,3.2439596637618804,0.0
2026-05-28,-0.0018886781976042782,3.2378328678710258,-0.0018886781976041878
2026-05-29,0.0012942316035259812,3.24202337349556,-0.0005968909810903922
2026-06-01,0.00023907384607775573,3.2427984564925354,-0.0003579598360351488
2026-06-02,0.01611934683171433,3.295070249518086,0.0
2026-06-03,-0.0011116202744129436,3.291407382623107,-0.0011116202744129167
2026-06-04,-0.002043514869719466,3.2846813426944124,-0.00315286353157207
2026-06-05,0.0,3.2846813426944124,-0.00315286353157207
