sym,name,n,sharpe,tstat,mean,wr
8035.T,TEL,5,15.378604765146255,2.1662155415085995,128.23210494400118,80.0
6146.T,ディスコ,16,9.336840917320252,2.3526627712572923,105.14399678101664,75.0
6920.T,レーザー,20,4.7779111699865835,1.346023984676355,65.57502890592659,70.0
5706.T,三井金属,22,3.3948590211978695,1.0030736316003217,53.4208774304441,54.54545454545454
5711.T,三菱マテ,7,2.6259576325853295,0.4376596054308883,40.181484672648494,57.14285714285714
6857.T,アドバン,17,2.1210538762972195,0.5509039551466315,33.5031004500973,58.82352941176471
5713.T,住友鉱山,13,-2.161943043962536,-0.49103862401584325,-33.689242571256585,38.46153846153847
6503.T,三菱電機,3,,,,
7203.T,トヨタ,1,,,,
7267.T,ホンダ,1,,,,
8058.T,三菱商事,2,,,,
8031.T,三井物産,2,,,,
