entry,thresh_bps,n,sharpe,tstat,mean,wr
11:00,200,109,3.8008477007169783,2.4997319805545155,53.23809518523539,61.46788990825688
11:25,150,280,1.6282333523284904,1.7163086518698183,17.608103818858076,55.35714285714286
11:25,200,129,1.4780198511448834,1.0574865486945288,17.76552492251873,53.48837209302325
11:00,150,273,1.1490994609111767,1.1960206388918293,13.780450817281801,53.11355311355312
11:25,100,662,0.5647387585646243,0.915327096776314,5.600558444726007,50.90634441087614
11:00,100,617,0.5499186215723995,0.8604799153444913,6.094170495255321,51.70178282009724
13:30,150,334,0.16946173888644375,0.1950943182166261,1.4208415113775767,46.10778443113773
11:00,50,1653,-0.053731309305952525,-0.1376143045864531,-0.4900690981209641,50.33272837265578
11:25,50,1753,-0.08993830601689466,-0.23721130952812094,-0.7496447809716626,48.6594409583571
13:30,100,774,-0.2615536913036179,-0.4583857029749365,-1.797013046609866,47.02842377260982
13:00,200,151,-0.61519604660882,-0.476213539787676,-5.795254260394062,45.6953642384106
13:30,50,1863,-0.6877075950268554,-1.869863816711638,-3.9197503575032933,46.75254965110038
13:00,50,1895,-0.8238691337193781,-2.2592410425778575,-5.133915763421897,47.75725593667546
13:30,200,159,-0.9440205391731884,-0.7498592189631996,-7.690148700308072,44.0251572327044
13:00,100,831,-0.9701742763754555,-1.7617731904038263,-7.155540633232823,47.0517448856799
13:00,150,360,-1.3724914597378515,-1.640441058745804,-11.072860051402232,46.666666666666664
