sym,time,th,N,mean,wr,pf,sharpe,t
5711.T,9:30,20,166,6.105977067380851,47.59036144578313,1.1185556967642942,0.6194957675696126,0.5027963510639263
5711.T,9:30,30,126,3.49367535479576,47.61904761904761,1.067670976016677,0.3644511815289673,0.25770590187058223
5711.T,9:30,50,82,-4.048091379133367,45.1219512195122,0.9336569275864612,-0.377348529511568,-0.2152530519243526
5711.T,9:30,80,33,-11.900791731251077,42.42424242424242,0.8520119302911018,-0.9256822710114659,-0.33497982056341125
5711.T,10:00,20,180,2.4731527153967785,52.77777777777778,1.053250142804801,0.2854701265588977,0.2412662920591405
5711.T,10:00,30,143,-0.6478753782899607,51.74825174825175,0.9860865609338291,-0.08002314035673602,-0.06028140122024542
5711.T,10:00,50,84,6.377719482897543,57.14285714285714,1.1451401166318065,0.8163890486182745,0.47134243698322315
5711.T,10:00,80,46,8.983674293259618,56.52173913043478,1.189601736124483,1.048352973682262,0.44790527467997526
5711.T,10:00,120,16,-8.617154679687552,56.25,0.8920947047903888,-0.724277103779964,-0.18250067589522898
5711.T,11:00,20,185,-6.049982208285777,49.18918918918919,0.8645436930336959,-0.8339461887045666,-0.7145351898155387
5711.T,11:00,30,159,-5.853235122529275,49.685534591194966,0.8731671042977854,-0.777806109930185,-0.6178309241109127
5711.T,11:00,50,104,-8.719414773017435,48.07692307692308,0.8312212476710029,-1.0919418073273255,-0.7014809693797253
5711.T,11:00,80,55,-3.0270024364219212,50.90909090909091,0.9473174618036277,-0.3281745681340178,-0.15331547637152806
5711.T,11:00,120,28,-36.394788114261715,42.857142857142854,0.5332295840619985,-3.8108560567781247,-1.270285352259375
5711.T,11:30,20,191,-9.736044779935689,44.50261780104712,0.770414260996916,-1.4609200972142855,-1.2718704484960766
5711.T,11:30,30,166,-10.536609666790632,44.57831325301205,0.7621876902125498,-1.5249036213579696,-1.237645221614526
5711.T,11:30,50,112,-14.729144589716345,44.642857142857146,0.7000856601021906,-2.049252587552498,-1.3661683917016654
5711.T,11:30,80,66,-23.323358398603254,45.45454545454545,0.6005090188808933,-2.8888824403939948,-1.4784327230662075
5711.T,11:30,120,33,-31.78994365433815,45.45454545454545,0.5750240934875321,-3.3579688427922414,-1.215159710455487
5711.T,13:30,20,190,-2.756381478658002,48.94736842105264,0.8946517430116907,-0.6213806877206369,-0.5395532110500457
5711.T,13:30,30,162,-2.831509905025405,50.0,0.8936306359489075,-0.6246131081250743,-0.5008046249768602
5711.T,13:30,50,109,-0.42183821351355777,55.04587155963303,0.9851636120360796,-0.083933737530784,-0.05520132993321237
5711.T,13:30,80,65,-2.0670625517957975,55.38461538461539,0.9451401642589105,-0.33682455251487936,-0.17106460125798165
5711.T,13:30,120,27,-2.386930903602693,55.55555555555556,0.9425872409896553,-0.3499891860236072,-0.11456085266922575
5711.T,14:00,20,190,-2.6627613938925503,48.421052631578945,0.8932392043430823,-0.6252480548593191,-0.5429112979671652
5711.T,14:00,30,164,-0.28698066040003223,51.829268292682926,0.9884106117059921,-0.0641472394007901,-0.05174872151360451
5711.T,14:00,50,105,-6.154460748729835,45.714285714285715,0.7932332092842299,-1.2426076499918641,-0.8020997890480707
5711.T,14:00,80,57,-6.692481984422361,54.385964912280706,0.8214593533088419,-1.1170587901608966,-0.531267425180205
5711.T,14:00,120,29,-6.163286953069283,55.172413793103445,0.8428985464168942,-0.9319022096587151,-0.3161324448848572
5706.T,9:30,20,194,-22.874875099101846,43.81443298969072,0.7714794719972536,-1.4472520957218185,-1.2698276566333089
5706.T,9:30,30,167,-28.927249699861694,42.51497005988024,0.7264301063952778,-1.764165569201935,-1.4361417475168605
5706.T,9:30,50,132,-29.70996238423262,39.39393939393939,0.7261527329658048,-1.780500783221849,-1.2886318590178127
5706.T,9:30,80,78,-25.891108599883342,41.02564102564102,0.7741142796218995,-1.4543256104573066,-0.809112075879306
5706.T,9:30,120,38,23.403087266308585,47.368421052631575,1.2577968012532472,1.3033438628691059,0.5061165502941867
5706.T,10:00,20,206,-25.13138007772774,41.74757281553398,0.7319406254761018,-1.8236140962086882,-1.6487935519712686
5706.T,10:00,30,181,-26.27757176132171,41.43646408839779,0.7327309919839804,-1.8584633351559798,-1.5750451747484049
5706.T,10:00,50,129,-28.106390458385125,40.310077519379846,0.7341920591552479,-1.886153635625354,-1.349496149798041
5706.T,10:00,80,79,-4.8903382201613885,44.303797468354425,0.9485183084468233,-0.31477302164470233,-0.17624255424181984
5706.T,10:00,120,42,47.11026172012833,52.38095238095239,1.60777753424213,2.90708659246329,1.1868131316035548
5706.T,11:00,20,211,0.8540757049957562,45.497630331753555,1.0123850538912655,0.07260842326372267,0.0664397459508101
5706.T,11:00,30,192,4.433927563917839,45.83333333333333,1.065699815855514,0.3753891441436299,0.327666508210071
5706.T,11:00,50,152,-1.3618233078525321,44.07894736842105,0.9819604668732542,-0.10821425525983688,-0.08404386152430689
5706.T,11:00,80,99,1.0429299931332259,45.45454545454545,1.0117765710427367,0.07192921852799172,0.04508402364257664
5706.T,11:00,120,65,-12.286299029257664,43.07692307692308,0.8654052221297999,-0.906559428422694,-0.4604184165966973
5706.T,11:30,20,211,-7.319944114786414,43.60189573459716,0.8839014273730155,-0.723671366157377,-0.6621895857005102
5706.T,11:30,30,189,-10.793723138736333,41.7989417989418,0.8391466359955836,-1.0382402380485476,-0.8991424213812451
5706.T,11:30,50,151,-19.53602995884252,39.735099337748345,0.7364606378230436,-1.8146765143893504,-1.4047124185055264
5706.T,11:30,80,111,-24.34931444461478,36.93693693693694,0.6990151593595875,-2.1416507583821787,-1.4213789202010572
5706.T,11:30,120,72,-27.166812195282798,40.27777777777778,0.6888846624184568,-2.17342053416386,-1.161742142317196
5706.T,13:30,20,213,-3.105295438469874,47.88732394366197,0.9336181436403067,-0.4172804030701162,-0.3836343802842608
5706.T,13:30,30,193,-0.4081018168528265,49.22279792746114,0.9912945992055259,-0.05315799233194325,-0.04652077640950378
5706.T,13:30,50,157,0.7419187229995903,49.681528662420384,1.0152061159132764,0.09186760785873113,0.07251234727011381
5706.T,13:30,80,119,-8.998357398754456,47.89915966386555,0.8377721079404417,-1.1100386312424189,-0.7628010875214242
5706.T,13:30,120,76,-5.371615009982086,47.368421052631575,0.9118614578862477,-0.594461803120796,-0.3264603787919737
5706.T,14:00,20,212,-3.174067865407196,50.0,0.9169141392115056,-0.48931737277072446,-0.44880562906112415
5706.T,14:00,30,183,-3.37895468457733,49.72677595628415,0.9178245411887744,-0.49188860057629663,-0.4191717757616025
5706.T,14:00,50,151,-9.150118136200156,49.00662251655629,0.7969431539380515,-1.339148367766442,-1.0366135933907397
5706.T,14:00,80,114,-10.305872096337003,48.24561403508772,0.7903904767190715,-1.393153765548719,-0.9370250654114115
5706.T,14:00,120,82,-10.121073835143704,48.78048780487805,0.7995436950768535,-1.297612100034063,-0.7402041955956202
5713.T,9:30,20,194,13.663317630153092,51.546391752577314,1.1967591790440668,1.0250763409403119,0.899408120903272
5713.T,9:30,30,160,14.856938609773053,51.87500000000001,1.2088795580616707,1.091760638382452,0.8699356996932588
5713.T,9:30,50,97,9.144427424586016,52.57731958762887,1.1052331361772434,0.5972538921207089,0.3705480953851278
5713.T,9:30,80,46,-23.357599823856226,50.0,0.7993939386311765,-1.3718011953698828,-0.5860974372594198
5713.T,9:30,120,22,-60.23906935562655,45.45454545454545,0.5792571011342225,-3.3086434868028047,-0.9775996638608586
5713.T,10:00,20,195,2.4382309076974753,53.333333333333336,1.036709043363385,0.19885067645109386,0.17492186858330647
5713.T,10:00,30,165,5.7025201155229635,53.939393939393945,1.0867048112022621,0.4572053267945242,0.3699584773469086
