exit_date,pnl
2016-05-17,0.005954965723241095
2016-05-19,0.004888260764626614
2016-05-27,0.001018945335938755
2016-06-01,0.001468644094641455
2016-06-22,0.0019328389527001049
2016-07-08,0.007937793875046204
2016-07-14,0.004665594085359716
2016-08-09,-5.718657431130086e-07
2016-09-01,0.002579198951732265
2016-10-31,0.001504458069637035
2016-11-15,0.0016240088465767299
2017-03-03,-6.646270466889e-05
2017-03-06,0.01112443654843483
2017-03-08,0.011388614378997675
2017-03-23,0.12363272345151391
2017-04-03,0.005938017833534195
2017-04-11,-0.01355160579394195
2017-04-17,0.006458885059090635
2017-04-26,0.00159660654183366
2017-04-27,0.0038787215493216996
2017-05-08,-0.0006698857614857499
2017-05-09,0.031530731478239385
2017-08-08,-0.002677986946535555
2017-08-15,-0.001851340706290745
2017-08-22,-0.002498953223598345
2017-09-13,-0.00391935716068851
2017-09-19,0.00109389405311413
2017-12-05,0.15525271094152146
2017-12-12,0.00439851627810136
2018-01-10,0.002998245668803825
2018-02-15,-0.01090170817673428
2018-02-16,0.12825244570488092
2018-02-20,0.00210559750701321
2018-02-26,4.4223666383095e-05
2018-02-28,0.0034972583581547854
2018-03-01,0.00341918531731576
2018-03-05,0.0021345914871140352
2018-03-13,0.053178109094952165
2018-03-22,0.000296413321039575
2018-04-02,0.001224268523783745
2018-04-11,-0.00344013260569421
2018-04-13,0.002548872259098445
2018-04-19,0.04775339461747105
2018-04-20,-0.007662737920049114
2018-05-30,-0.001852216164306825
2018-06-01,0.003048916882964465
2018-06-05,0.003279967829287555
2018-06-20,-0.003265790719305385
2018-06-26,-0.003467094699888645
2018-07-02,-0.00286422436641904
2018-07-11,0.0012493439349191549
2018-07-12,0.00145024807192713
2018-07-18,0.00013186472377575998
2018-07-20,-0.00023739782147990502
2018-07-25,-0.00078225873515238
2018-07-26,0.00486938503137922
2018-08-29,0.00080076201751896
2018-10-10,-0.0032849141701043797
2018-10-25,-0.01645643305281003
2018-10-31,-0.001586262861448365
2018-11-01,-0.0017951638929092398
2018-11-02,0.00448342570564743
2018-11-09,0.0032413379473002005
2018-11-12,-0.0007103865904914452
2018-11-21,-0.006227666464579186
2018-11-29,-0.004531681118519875
2018-11-30,0.003498786995260275
2019-01-08,0.00882117517280475
2019-01-09,0.010172327897741225
2019-01-10,0.004404301924364505
2019-01-15,0.0082155522548566
2019-01-16,0.010419746654102995
2019-01-21,0.00450335942629119
2019-03-08,-0.0023550063867073647
2019-03-11,-0.000236046940705555
2019-04-04,-0.00561092484404486
2019-05-07,-0.00337789838958987
2019-05-20,-0.000494081041586095
2019-05-27,-0.01709249330222809
2019-05-30,-0.007787533991362915
2019-06-06,0.0023204609593180303
2019-06-10,0.00237037895533473
2019-06-11,6.492763770056e-05
2019-06-12,0.0024763638975771
2019-06-13,0.0020528734878033548
2019-06-20,-0.0017391215416774348
2019-06-21,-0.00020642231766793002
2019-08-13,-0.014308682520973077
2019-08-20,-0.0086764938965361
2019-08-30,-0.007487709583597629
2019-09-04,-0.0008295193597265799
2019-09-06,0.0026388385439035903
2019-09-09,0.00173015243319803
2019-11-05,0.007210177399427925
2020-01-08,-0.000967698290778435
2020-01-17,-0.004852153950024015
2020-01-21,0.00676750996866541
2020-01-22,-0.000949587135593445
2020-01-30,-0.0015261304539692403
2020-02-06,0.004461959877005755
2020-02-13,0.00127328575850108
2020-03-24,-0.00159007543665607
2020-03-26,0.006723164514880145
2020-04-08,-0.0031400264843547848
2020-04-10,-0.00927572601943802
2020-04-13,-0.008623005663747395
2020-04-28,-0.0142159641554826
2020-05-01,-0.023249444949036052
2020-05-11,-0.0033828739595455097
2020-07-27,-0.004228002738522545
2020-07-31,-0.007447485597233799
2020-08-07,0.003740746738637425
2020-08-12,0.003287969873960625
2020-08-17,-0.004520094388170895
2020-08-24,0.015104120689911099
2020-08-26,-0.00229826260709738
2020-10-02,0.12021020455718995
2020-10-08,-0.003764908203738375
2020-11-10,0.002738056229052535
2020-11-11,0.00924648651072383
2021-03-22,-0.00279735686486479
2021-03-26,-0.004678116801732035
2021-04-02,-0.002124405401859385
2021-04-06,0.00586072061838535
2021-05-14,-0.007139576759237655
2021-05-20,0.00133917416170548
2021-06-11,-0.000174428280230135
2021-06-23,0.007064062932770575
2021-07-12,0.005799276019884375
2021-07-14,0.010342115880776586
2021-09-02,0.0028447478758883748
2021-09-06,0.0033385899812757697
2021-09-07,-0.00387105472258985
2021-09-08,0.00188397605579481
2021-09-22,-0.001198614887726655
2021-10-14,-0.0001928923487043
2021-10-25,-0.002107282787199605
2021-10-29,0.00556758964945255
2021-11-11,-0.002719909278348535
2021-12-03,-0.00131403311874844
2021-12-08,-0.00239822684772968
2022-01-05,0.0054030798778608394
2022-01-19,-0.00091947407382748
2022-02-04,0.014927482432898233
2022-02-18,0.005532663408003504
2022-03-18,0.0036392439096021396
2022-03-23,0.018402915454407573
2022-03-24,0.006549965478946135
2022-03-25,0.0012268721418667
2022-05-09,-0.00177179986245476
2022-05-10,0.00096865616901394
2022-05-12,-0.002440080074214705
2022-05-19,0.005215894910194405
2022-06-01,0.00157990347047979
2022-06-02,0.003289609660550005
2022-06-09,0.002229621681330115
2022-07-01,-0.00171438675647868
2022-07-20,0.0020966222368321253
2022-07-21,0.00146064432147675
2022-07-28,-0.00080109098058229
2022-10-03,-0.01485200316313601
2022-10-04,-0.001033924005261925
2022-10-07,0.0026035708396259
2022-10-19,-0.00429099996394008
2022-10-24,0.00055723121351577
2022-10-25,0.004304038079045764
2022-10-26,0.00629443607995263
2022-10-27,-3.521719360278e-05
2022-10-28,0.00195154867561952
2022-11-10,0.001302576566525495
2023-01-13,0.0007946578723758551
2023-01-19,0.000272591642862235
2023-01-25,0.00032160858486321
2023-01-30,0.0006947216679650051
2023-02-17,-0.00134699658166827
2023-03-22,-0.0018486352278553949
2023-03-27,0.000351243689088005
2023-03-30,0.0008132489866785801
2023-03-31,0.00606947219234786
2023-04-05,-0.00527338497783751
2023-04-06,0.009663201591779585
2023-04-07,0.010450144337065235
2023-04-10,-0.00015818609880913502
2023-04-11,0.0009147124267023301
2023-04-12,0.00600339157332015
2023-05-17,0.009406449903590821
2023-05-26,0.008675808653634225
2023-06-20,0.00026392205192449496
2023-08-23,0.00288512324609087
2023-08-31,0.00015980861317465
2023-09-01,-0.00404109290240657
2023-10-06,-0.0045574954815592
2023-10-11,0.0034444427687585705
2023-10-12,0.002902747142667365
2023-10-13,0.001405157829868175
2023-10-18,0.0046548601349828645
2023-11-07,0.00489887568470894
2023-12-07,0.008238118004575756
2023-12-18,0.01513075851360666
2023-12-20,0.00839242367124612
2024-01-09,-0.00551831801446392
2024-02-20,0.017917558385210364
2024-03-13,0.012568943803431579
2024-05-01,0.02724114922254296
2024-05-08,0.0048508700886468106
2024-05-13,0.0014685108566473049
2024-05-20,0.0012182959405305151
2024-06-10,-0.00012873294732764499
2024-06-20,-0.006782985988848855
2024-06-26,0.0037915870066408002
2024-06-27,0.00899589298722325
2024-06-28,0.005014159083687045
2024-07-02,0.00361241849079214
2024-08-08,0.01006133026641763
2024-08-13,0.010281158751599816
2024-08-15,0.006348737649229714
2024-08-16,0.010931991199608304
2024-08-19,0.026406667694068475
2024-08-21,0.01289631164830031
2024-08-28,0.014229888358124625
2024-09-02,-0.003817396151366835
2024-09-24,-0.008910246109878575
2024-09-27,-0.0037355084966201996
2024-11-28,-0.006187911897845535
2024-12-06,-0.0022852594768109453
2024-12-25,0.002169576111607095
2024-12-30,0.00129999688781057
2025-01-09,-0.00130090216763917
2025-02-28,-0.00261502191430001
2025-03-12,0.023049605819623377
2025-03-19,0.0005062136114659551
2025-04-08,-0.0112142590569767
2025-04-10,0.0067451116840314945
2025-04-11,0.0017111185337007051
2025-04-17,-0.00629453658842462
2025-04-18,0.008374768602052959
2025-04-23,0.007556054350883195
2025-04-24,0.012278921535958255
2025-04-25,0.0004999567921675949
2025-04-28,0.019605178057776784
2025-04-30,0.00225435569863266
2025-05-02,-0.001234317371351365
2025-08-22,0.0011903690259890951
2025-09-16,0.0034379093248595297
2025-10-23,0.0035321439956362854
2026-03-11,-0.00603783079248021
2026-03-31,0.016032248264088188
2026-04-01,0.03926961592006047
2026-04-21,-0.000599292501606135
2026-05-13,0.00129129064904536
2026-05-22,0.35992172911195036
