code,entry_date,exit_date,entry,exit,hold_days,ret_pct,pnl
57110,2016-09-07,2017-03-23,291.0,3455.0,197,247.4254469030278,2.472654469030278
57110,2017-07-12,2017-12-12,3415.0,3735.0,153,8.957032556202725,0.08797032556202725
57110,2018-01-25,2018-02-15,4085.0,3290.0,21,-21.643416353468563,-0.21803416353468563
57110,2018-09-21,2018-11-21,3345.0,2958.0,61,-12.295332929158374,-0.12455332929158375
57110,2019-02-22,2019-03-08,3080.0,2943.0,14,-4.550012773414735,-0.047100127734147346
57110,2019-04-24,2019-05-07,3055.0,2860.0,13,-6.595796779179739,-0.0675579677917974
57110,2019-07-01,2019-08-20,3140.0,2644.0,50,-17.19298779307221,-0.17352987793072208
57110,2019-10-15,2020-01-08,2955.0,2903.0,85,-1.7753965815568702,-0.019353965815568704
57110,2020-06-04,2020-07-31,2540.0,2192.0,57,-14.734971194467605,-0.14894971194467604
57110,2021-01-22,2021-05-20,2303.0,2340.0,118,1.5938308531062009,0.014338308531062008
57110,2021-09-01,2021-09-22,2260.0,2210.0,21,-2.2372297754533097,-0.0239722977545331
57110,2021-09-29,2021-10-14,2217.0,2212.0,15,-0.2257846974086088,-0.0038578469740860877
57110,2022-02-16,2022-05-09,2104.0,2034.0,82,-3.383599724909525,-0.03543599724909525
57110,2022-08-15,2022-10-19,2179.0,2003.0,65,-8.42199992788016,-0.0858199992788016
57110,2022-11-29,2023-03-22,2158.0,2083.0,113,-3.5372704557107957,-0.03697270455710795
57110,2023-03-24,2023-03-27,2078.0,2096.0,3,0.8624873781760158,0.007024873781760158
57110,2023-03-30,2023-04-11,2140.0,2183.0,12,1.9894248534046637,0.018294248534046636
57110,2023-04-24,2023-08-23,2226.0,2362.0,121,5.930246492181744,0.05770246492181744
57110,2023-09-29,2023-10-13,2492.0,2413.0,14,-3.2214814282311988,-0.033814814282311985
57110,2023-12-04,2024-06-27,2489.5,2985.0,206,18.1517859744465,0.179917859744465
57110,2025-02-14,2025-04-17,2456.0,2150.0,62,-13.306616814532465,-0.13466616814532464
57110,2025-07-15,2026-05-22,2295.0,5038.0,311,78.627633441791,0.78467633441791
