code,entry_date,exit_date,entry,exit,hold_days,ret_pct,pnl
80580,2017-03-23,2017-04-11,2427.5,2461.5,19,1.3908999032775202,0.012308999032775202
80580,2018-12-26,2019-01-08,2836.0,3108.0,13,9.158482383552,0.08998482383552
80580,2019-08-06,2019-09-09,2604.0,2700.0,34,3.6203048663960637,0.03460304866396064
80580,2020-03-02,2020-05-01,2638.5,2282.0,60,-14.515832242370161,-0.1467583224237016
80580,2020-08-03,2020-08-12,2124.0,2272.0,9,6.7359397479212575,0.06575939747921257
80580,2020-11-02,2020-11-11,2348.0,2529.0,9,7.426006572197812,0.07266006572197811
80580,2022-10-03,2022-10-07,3990.0,4210.0,4,5.367141679251806,0.05207141679251807
80580,2023-10-05,2023-10-13,6740.0,7182.0,8,6.351797087967547,0.06191797087967548
80580,2023-12-29,2024-02-20,2255.0,3232.0,53,35.99511677042073,0.35835116770420733
80580,2024-06-19,2024-07-02,3027.0,3259.0,13,7.384836981584288,0.07224836981584287
80580,2024-08-05,2024-08-19,2625.5,3023.0,14,14.097836170154403,0.13937836170154405
80580,2024-11-27,2024-12-30,2555.0,2626.5,33,2.759993775621143,0.025999937756211428
