code,entry_date,SUE,car0,car0_z,div,d5,d10,d20,period
25930,2021-03-03,-0.6951783481083352,0.0270034667983505,0.0,-0.6951783481083352,654.0838853880326,42.066770009476784,338.1020735069495,IS
30310,2021-03-08,-0.07639128456730272,0.0417239499031474,0.7071067811865476,-0.7834980657538503,-495.0413637300322,1229.8976968763186,4571.913147515469,IS
19280,2021-03-08,-0.897825112277071,0.0081754850767357,-0.7071067811865475,-0.1907183310905235,-23.847887372334675,214.9386663729813,399.2436872504701,IS
29290,2021-03-09,1.0184197628583536,-0.1069100753897156,0.0,1.0184197628583536,1962.4750869833351,3071.551412737419,3551.913018928881,IS
96030,2021-03-17,-1.6936909816674706,-0.0140077061003126,-0.2505241769249283,-1.4431668047425423,-88.32567898759969,-306.7102550548673,-218.0448560403592,IS
43690,2021-03-17,0.019903675617750544,0.0016288603959757,0.20629518349434856,-0.186391507876598,63.25509190889256,367.3556300274072,1429.595068080611,IS
30380,2021-03-17,0.06960813511340937,0.0098662661518751,0.4469494492385111,-0.37734131412510175,-108.64573453738812,97.21402256522516,-152.56625809985326,IS
46660,2021-03-17,-0.9005882222989029,0.0336865331193503,1.1428540855716496,-2.0434423078705524,-526.0306223768218,-692.1159656283993,-1112.645951134091,IS
69660,2021-03-17,1.5631423340172013,-0.0583362589034417,-1.5455745413795807,3.108716875396782,749.5296017128139,1244.3336142035332,1893.1313597902788,IS
33910,2021-03-18,0.571382217595489,-0.0030799501094576,0.7071067811865475,-0.13572456359105844,419.0834548292799,327.7332415361367,-226.58559659634255,IS
26780,2021-03-18,0.9582796414917835,-0.0668566803137344,-0.7071067811865476,1.665386422678331,333.68934208080844,1145.4312030843462,756.0350630944502,IS
47160,2021-03-23,-0.03857445602206902,-0.0076636710579394,0.0,-0.03857445602206902,-128.77025307540202,-329.5086320918406,-460.99344451520864,IS
24840,2021-03-30,-1.837642550341963,-0.0233043477200488,0.0,-1.837642550341963,678.1786444910675,44.37655013412312,-137.76322859572866,IS
75450,2021-04-01,1.9674628092723407,-0.0094695473672157,0.0,1.9674628092723407,655.2349282209491,1155.0757768032038,380.76594889771445,IS
