label,N,mean_raw,mean_net,std,t_stat,p_val,win_rate,sharpe
67580 ソニーG,5274,2.74,-1.26,66.47,3.0,0.0027,48.7,-2.32
68570 アドバンテスト,11829,0.43,-3.57,101.94,0.46,0.6447,48.7,-4.3
72030 トヨタ,4974,1.3,-2.7,51.39,1.79,0.0739,50.5,-6.45
83060 MUFG,9362,5.84,1.84,47.71,11.84,0.0,52.7,4.74
99840 ソフトバンクG,24030,12.48,8.48,113.13,17.1,0.0,51.9,9.21
