label,N,mean_raw,mean_net,std,t_stat,p_val,win_rate,sharpe
5min,59403,0.69,-3.31,44.69,3.79,0.0002,48.1,-9.09
15min,59403,2.61,-1.39,69.45,9.14,0.0,49.4,-2.47
30min,55469,6.86,2.86,93.96,17.2,0.0,50.9,3.74
60min,51464,10.65,6.65,122.21,19.78,0.0,51.3,6.69
90min,47784,8.9,4.9,147.6,13.18,0.0,50.0,4.08
120min,43630,7.44,3.44,173.0,8.99,0.0,49.6,2.45
EOD,59403,7.36,3.36,178.35,10.06,0.0,50.7,2.32
