label,N,mean_raw,mean_net,std,t_stat,p_val,win_rate,sharpe
全大口買い (フィルタなし),55469,6.86,2.86,93.96,17.2,0.0,50.9,3.74
tick_ratio≥1.5,12353,1.53,-2.47,89.56,1.9,0.0571,50.3,-3.39
tick_ratio≥2.0,6577,-0.74,-4.74,96.52,-0.62,0.534,50.2,-6.04
tick_ratio≥3.0,2654,-4.68,-8.68,112.68,-2.14,0.0326,49.7,-9.47
tick_ratio≥5.0,942,-17.66,-21.66,130.82,-4.14,0.0,45.5,-20.36
