label,N,mean_raw,mean_net,std,t_stat,p_val,win_rate,sharpe
寄付30分,13318,14.61,10.61,122.57,13.75,0.0,53.1,10.64
前場前半,14511,8.46,4.46,101.82,10.01,0.0,51.1,5.39
前場後半,8679,2.79,-1.21,91.54,2.84,0.0045,46.2,-1.62
ランチ後,6924,0.29,-3.71,70.85,0.35,0.7296,51.8,-6.43
後場前半,11884,3.07,-0.93,50.21,6.65,0.0,51.3,-2.29
大引前30分,153,3.31,-0.69,45.94,0.89,0.3761,49.0,-1.85
