date,code,c,tv,ym,tv20,ret_fwd,ret_6m,bps,eps,roe,divy,pbr,code4,name_ja,score
2026-06-12,83830,1482.0,49329300.0,2026-06,54624600.0,,-0.04387096774193544,5430.09,169.19,3.106967615309127,3.3738191632928474,0.27292365319911827,8383,鳥取銀行,63.0
2026-06-12,84160,1248.0,16265600.0,2026-06,39798170.0,,0.2932642487046633,3850.18,47.2,1.2046731616606703,2.003205128205128,0.324140689526204,8416,高知銀行,67.0
2026-06-12,85370,2841.0,61666100.0,2026-06,90768205.0,,0.3731271145480908,8455.12,293.79,3.440096357111253,3.132699753607884,0.33600942387571076,8537,大光銀行,59.0
2026-06-12,83640,2440.0,66205100.0,2026-06,77743805.0,,0.0037021801727683545,7000.01,177.2,2.468770058756727,2.459016393442623,0.34857093061295624,8364,清水銀行,63.0
2026-06-12,85420,1481.0,33456100.0,2026-06,33352735.0,,-0.003364737550471064,4101.7,156.49,3.4304421265258505,3.37609723160027,0.36106980032669383,8542,トマト銀行,58.0
2026-06-12,85630,968.0,27012800.0,2026-06,45912915.0,,0.06725468577728777,2299.5,132.66,5.59366051807951,4.132231404958678,0.42096107849532505,8563,大東銀行,29.0
2026-06-12,87130,2038.0,172947200.0,2026-06,111870425.0,,0.07150368033648791,4746.44,228.75,4.804748879706687,3.680078508341511,0.42937443641971673,8713,フィデアホールディングス,44.0
2026-06-12,85510,5410.0,117278000.0,2026-06,114620200.0,,0.19690265486725655,11593.8,527.94,4.591713236300109,3.4011090573012934,0.4666287153478584,8551,北日本銀行,45.0
2026-06-12,85620,352.0,80145500.0,2026-06,97296680.0,,0.31343283582089554,681.96,21.12,3.074994777522457,1.4204545454545454,0.5161593055311162,8562,福島銀行,56.0
2026-06-12,85410,2044.0,334978300.0,2026-06,295482005.0,,0.3718120805369127,3688.73,184.62,4.9938027544852135,2.2504892367906066,0.5541202527699235,8541,愛媛銀行,35.0
2026-06-12,86000,890.0,539988800.0,2026-06,534011345.0,,0.13520408163265296,1530.36,83.85,5.435261439337129,2.9213483146067416,0.5815625081680128,8600,トモニホールディングス,27.0
2026-06-12,85580,1480.0,344114700.0,2026-06,301591490.0,,0.3741875580315692,2532.72,-687.18,-27.060252940851605,2.364864864864865,0.5843520010107711,8558,東和銀行,58.0
2026-06-12,73840,3550.0,762665000.0,2026-06,813625600.0,,0.6291877007801745,5748.2,133.47,2.3242668698275386,1.4084507042253522,0.6175846351901465,7384,プロクレアホールディングス,55.0
2026-06-12,85500,971.0,817694400.0,2026-06,632331420.0,,0.33746556473829203,1567.66,79.71,5.025037283121355,2.677651905252317,0.6193945115650077,8550,栃木銀行,30.0
2026-06-12,83430,6350.0,465586000.0,2026-06,389807150.0,,0.5776397515527951,10032.17,433.02,4.289921027974836,2.7559055118110236,0.6329637555982405,8343,秋田銀行,43.0
