n,mean_net,t,sharpe,cum,label,period
220,11.010259567570852,1.043529559114535,1.112406247707366,2422.2571048655873,FCX+2%→非鉄翌日Long,ALL
119,22.214388173785828,2.280925890267765,3.3060369141175627,2643.5121926805136,FCX+2%→非鉄翌日Long,IS
101,-2.19064443381116,-0.11009090065192226,-0.17320512653297965,-221.25508781492718,FCX+2%→非鉄翌日Long,OOS
220,109.35091693810256,9.329574968910029,9.94536033332495,24057.201726382562,FCX+2%→非鉄翌日ギャップ,ALL
119,62.22823631693133,8.633039430289626,12.5129655283186,7405.160121714828,FCX+2%→非鉄翌日ギャップ,IS
101,164.87169905611617,7.187961066507085,11.308761202479568,16652.041604667735,FCX+2%→非鉄翌日ギャップ,OOS
206,-15.897650929612904,-1.389166217753237,-1.5303494352165183,-3274.9160915002585,FCX-2%→非鉄翌日Short,ALL
126,-11.21653628252035,-1.0849383254589553,-1.5282337364661134,-1413.283571597564,FCX-2%→非鉄翌日Short,IS
80,-23.270406498783682,-0.9440334463713563,-1.6688311289902324,-1861.6325199026946,FCX-2%→非鉄翌日Short,OOS
192,-19.405121408537404,-2.726186004843156,-3.1108199391822597,-3725.7833104391816,SOX+2%→半導体翌日Long,ALL
105,-8.920467899751968,-1.0499818171980724,-1.6201571179294734,-936.6491294739566,SOX+2%→半導体翌日Long,IS
87,-32.05901357431293,-2.7135041521726553,-4.599820331279517,-2789.134180965225,SOX+2%→半導体翌日Long,OOS
191,67.34824763718396,7.332593375982114,8.389014071448702,12863.515298702136,SOX+2%→半導体翌日ギャップ,ALL
104,39.270042865591186,6.123660653140593,9.494332797833405,4084.0844580214834,SOX+2%→半導体翌日ギャップ,IS
87,100.9129981687431,5.587030642276182,9.470903930346536,8779.43084068065,SOX+2%→半導体翌日ギャップ,OOS
163,-1.1559817879553584,-0.10673057863809093,-0.13217979259780577,-188.42503143672343,SOX-2%→半導体翌日Short,ALL
95,-13.887499984204318,-1.3272015497520253,-2.1530052152772394,-1319.3124984994101,SOX-2%→半導体翌日Short,IS
68,16.63069804503951,0.7777902793272515,1.4913447822745465,1130.8874670626865,SOX-2%→半導体翌日Short,OOS
129,-17.330390950904906,-1.8295672828703293,-2.546968270175743,-2235.620432666733,NQc1+1.5%→全体翌日Long,ALL
88,4.183290662843001,0.4454050148292915,0.7507299993458666,368.12957833018413,NQc1+1.5%→全体翌日Long,IS
41,-63.50609782919311,-3.1232177384183784,-7.712236492542071,-2603.7500109969174,NQc1+1.5%→全体翌日Long,OOS
63,-17.552379150526804,-1.005111480840371,-2.0022299957847824,-1105.7998864831886,AUD+1%→非鉄翌日Long,ALL
45,-17.95942784520231,-1.1468957129148238,-2.703259119719506,-808.1742530341039,AUD+1%→非鉄翌日Long,IS
18,-16.53475741383803,-0.344324997356243,-1.2832235007349913,-297.62563344908455,AUD+1%→非鉄翌日Long,OOS
