section,st_date,en_date,pub_date,FrgnBal,IndBal,InvTrBal,TotBal,ret_week,ret_pub_1w,ret_pub_2w,frgn_next,date,period,frgn_ma4,signal,strat_ret
TSE1st,2016-10-11,2016-10-14,2016-10-20,116018970.0,-16592708.0,-50368234.0,5904644.0,-0.006753419102738856,0.008177706448789124,-0.017332944266121975,67615894.0,2016-10-14,IS,23172350.5,1,0.008177706448789124
TSE1st,2016-10-17,2016-10-21,2016-10-27,67615894.0,-182740466.0,-67621228.0,10691571.0,0.009411782102087818,-0.025303724285641982,-0.002698967445966427,10578005.0,2016-10-21,IS,68343815.5,1,-0.025303724285641982
TSE1st,2016-10-24,2016-10-28,2016-11-04,10578005.0,-286920212.0,-91192075.0,14558770.0,0.01813382470148661,0.023191590450172272,0.06044363938710062,-53782038.0,2016-10-28,IS,118926352.25,1,0.023191590450172272
TSE1st,2016-10-31,2016-11-04,2016-11-10,-53782038.0,115286905.0,19875146.0,-2251492.0,-0.03300742272185608,0.03395211973698542,0.06406800595778694,398296280.0,2016-11-04,IS,35107707.75,1,0.03395211973698542
TSE1st,2016-11-07,2016-11-11,2016-11-17,398296280.0,-413912651.0,-85218976.0,24635382.0,0.01135896683299098,0.029126964049807524,0.03857829496584886,482414552.0,2016-11-11,IS,105677035.25,1,0.029126964049807524
TSE1st,2016-11-14,2016-11-18,2016-11-25,482414552.0,-433793816.0,-163989525.0,31877896.0,0.020328571428571474,0.009183833721398749,0.04153550968570108,305158930.0,2016-11-18,IS,209376699.75,1,0.009183833721398749
TSE1st,2016-11-21,2016-11-25,2016-12-01,305158930.0,-439850836.0,-67601630.0,33753886.0,0.014969541141981901,0.019834554733797694,0.040080362981790296,416530504.0,2016-11-25,IS,283021931.0,1,0.019834554733797694
TSE1st,2016-11-28,2016-12-02,2016-12-08,416530504.0,-306421084.0,54092756.0,29693488.0,0.005715918833952616,0.019852051643099333,0.020579233021967402,566487565.0,2016-12-02,IS,400600066.5,1,0.019852051643099333
TSE1st,2016-12-05,2016-12-09,2016-12-15,566487565.0,-378286240.0,38109453.0,32803177.0,0.03981021977422694,0.0007130263430823458,-0.015628241028832313,89200020.0,2016-12-09,IS,442647887.75,1,0.0007130263430823458
TSE1st,2016-12-12,2016-12-16,2016-12-22,89200020.0,-487482799.0,-173663540.0,13175630.0,0.01256342111621156,-0.016329623919887015,0.004262154914433047,-192310766.0,2016-12-16,IS,344344254.75,1,-0.016329623919887015
TSE1st,2016-12-19,2016-12-22,2016-12-29,-192310766.0,-201580011.0,-52745218.0,12058753.0,-0.0033826966031011985,0.015753528408379847,-0.006118322697067469,12766177.0,2016-12-22,IS,219976830.75,1,0.015753528408379847
TSE1st,2016-12-26,2016-12-30,2017-01-10,12766177.0,-186084945.0,-78469060.0,15308581.0,-0.012697153705124475,-0.021532636110768943,-0.023328643398538573,222260039.0,2016-12-30,IS,119035749.0,1,-0.021532636110768943
TSE1st,2017-01-04,2017-01-06,2017-01-13,222260039.0,-239910460.0,-44315467.0,6546353.0,-0.0007462302506304752,-0.007398585012525216,0.002822207406352417,118667551.0,2017-01-06,IS,32978867.5,1,-0.007398585012525216
TSE1st,2017-01-10,2017-01-13,2017-01-19,118667551.0,-2661762.0,-57750900.0,-855001.0,0.001672815452146592,0.01103294833622348,-0.011608808035860396,-95007313.0,2017-01-13,IS,40345750.25,1,0.01103294833622348
TSE1st,2017-01-16,2017-01-20,2017-01-26,-95007313.0,-1031370.0,-103851141.0,-1974372.0,0.001842366591752409,-0.022394677057106405,-0.020362327751923925,-204483393.0,2017-01-20,IS,64671613.5,1,-0.022394677057106405
TSE1st,2017-01-23,2017-01-27,2017-02-02,-204483393.0,-138844328.0,-44575772.0,-377862.0,0.02285706740259985,0.0020789057275838463,0.026919842956548035,-241670328.0,2017-01-27,IS,10359221.0,1,0.0020789057275838463
TSE1st,2017-01-30,2017-02-03,2017-02-09,-241670328.0,197537541.0,-77101415.0,-9804955.0,-0.01864267345524262,0.024789402398335048,0.028211819893627643,141603400.0,2017-02-03,IS,-105623370.75,0,0.0
TSE1st,2017-02-06,2017-02-10,2017-02-16,141603400.0,-174491517.0,-25696610.0,8666115.0,0.01719261782928383,0.003339630061828247,0.00878103502743266,-91491442.0,2017-02-10,IS,-99889408.5,0,0.0
TSE1st,2017-02-13,2017-02-17,2017-02-23,-91491442.0,25375253.0,-11065260.0,-4314959.0,-0.006215416291339704,0.005423293172690746,-0.0010088353413654216,-73091032.0,2017-02-17,IS,-99010440.75,0,0.0
TSE1st,2017-02-20,2017-02-24,2017-03-02,-73091032.0,-45013737.0,-54277323.0,3556147.0,0.0020232577682111064,-0.006397433357406279,0.005112833852072951,-79743382.0,2017-02-24,IS,-66162350.5,0,-0.0
TSE1st,2017-02-27,2017-03-03,2017-03-09,-79743382.0,-87282354.0,-59130173.0,13404724.0,0.015677966101694807,0.01158437749247443,-0.006921038413049585,-93732725.0,2017-03-03,IS,-25680614.0,0,0.0
