threshold,direction,exit,n,mean,wr,pf,sharpe
0.5,long,09:30,91,0.02502866520256313,53.84615384615385,1.104851621649446,0.6121966096293745
0.5,long,10:00,91,0.021439593229310768,56.043956043956044,1.0712905440812361,0.4438985046422879
0.5,long,11:30,91,-0.0020364681622221307,47.25274725274725,0.9943658398919977,-0.035074686667191934
0.5,long,13:00,91,0.06727487281737213,49.45054945054945,1.1793956637458622,0.98299386390804
0.5,long,15:30,91,0.14847540566782974,53.84615384615385,1.4363000737318339,2.2983013104196623
0.5,short,09:30,91,-0.10502866520256321,39.56043956043956,0.6603727497442409,-2.5689820943516883
0.5,short,10:00,91,-0.10143959322931081,40.65934065934066,0.7239564245105666,-2.1002676340170745
0.5,short,11:30,91,-0.0779635318377779,46.15384615384615,0.8047103430887583,-1.342788707137877
0.5,short,13:00,91,-0.1472748728173722,48.35164835164835,0.6948696635113185,-2.151922259003222
0.5,short,15:30,91,-0.22847540566782984,46.15384615384615,0.5704203195031816,-3.536648523593239
1.0,long,09:30,37,0.13459412988242325,54.054054054054056,1.8900785327642964,3.8186195685305417
1.0,long,10:00,37,0.17480043357744768,64.86486486486487,1.9205053008836246,4.1415518899033845
1.0,long,11:30,37,0.2349755241504405,56.75675675675676,2.0111507017483388,4.013548502744264
1.0,long,13:00,37,0.2617184566679767,56.75675675675676,1.9635046129295544,3.7056489322640913
1.0,long,15:30,37,0.3415781576419086,59.45945945945946,2.4743069195567577,5.328183950410566
1.0,short,09:30,37,-0.21459412988242332,35.13513513513514,0.35628712270601604,-6.088328996046501
1.0,short,10:00,37,-0.25480043357744775,35.13513513513514,0.38836421383675945,-6.036994277610468
1.0,short,11:30,37,-0.31497552415044056,40.54054054054054,0.3868594152744777,-5.380005206609176
1.0,short,13:00,37,-0.34171845666797684,40.54054054054054,0.41090266575535744,-4.838361994825112
1.0,short,15:30,37,-0.42157815764190865,40.54054054054054,0.3209475732989174,-6.576081998036045
1.5,long,09:30,15,0.2408761767551112,60.0,2.54667491686872,5.894146150151363
1.5,long,10:00,15,0.12868886229511334,60.0,1.4958082981655416,2.4380675256191995
1.5,long,11:30,15,0.3537707501508948,60.0,2.037555848533533,4.466900879438313
1.5,long,13:00,15,0.5697343907407808,73.33333333333333,2.911962789000881,6.0880068886616225
1.5,long,15:30,15,0.6745946398377912,73.33333333333333,4.918796796478459,8.744271895031904
1.5,short,09:30,15,-0.3208761767551113,40.0,0.2783043406772483,-7.8517149656490295
1.5,short,10:00,15,-0.20868886229511335,40.0,0.5216219237763013,-3.953702978221553
1.5,short,11:30,15,-0.4337707501508949,40.0,0.4159827943890099,-5.477024158998995
1.5,short,13:00,15,-0.6497343907407808,26.666666666666668,0.29863466655465376,-6.942862342375184
1.5,short,15:30,15,-0.7545946398377914,26.666666666666668,0.16656638521753933,-9.781252787395294
2.0,long,09:30,5,0.47239512496979286,60.0,8.244128015683245,12.046807372879881
2.0,long,10:00,5,0.2728089450781157,80.0,1.862250832425379,3.8333023519350666
2.0,long,11:30,5,0.49827733345524494,60.0,1.8279702192397114,4.392231946232566
2.0,long,13:00,5,0.9222910880825298,60.0,2.39109697918646,6.377945316719491
2.0,long,15:30,5,1.346132540707093,60.0,6.179258534538732,12.492465413687096
2.0,short,09:30,5,-0.5523951249697929,40.0,0.05671180047539948,-14.086931283752198
2.0,short,10:00,5,-0.3528089450781158,20.0,0.45987655349762463,-4.957401079955132
2.0,short,11:30,5,-0.5782773334552449,40.0,0.4963106031384655,-5.0974186607515914
2.0,short,13:00,5,-1.0022910880825298,40.0,0.3863348459615121,-6.93117155074757
2.0,short,15:30,5,-1.4261325407070933,40.0,0.13778882457436736,-13.23488653707069
