label,N,mean_raw,mean_net,std,t_stat,p_val,win_rate,sharpe
2018-12 (Powell利上げ),2219,-61.0,-65.0,207.9,-13.82,0.0,37.9,-4.96
2020-03 (COVID),2738,-54.4,-58.4,313.3,-9.09,0.0,47.5,-2.96
2022-01 (Russia),1313,-41.8,-45.8,196.9,-7.68,0.0,37.9,-3.69
2025-04 (Tariff),703,163.1,159.1,502.5,8.6,0.0,66.9,5.03
